"","poi_gage_id","poi_gage_id_0"
"1",136230002,"0136230002"
"2",142400103,"0142400103"
"3",163626650,"0163626650"
"4",204382800,"0204382800"
"5",208111310,"0208111310"
"6",208650112,"0208650112"
"7",344894205,"0344894205"
"8",357479650,"0357479650"
"9",810464660,"0810464660"
"10",73274406,"073274406"
"11",1013500,"01013500"
"12",1017550,"01017550"
"13",1021470,"01021470"
"14",1021480,"01021480"
"15",1022260,"01022260"
"16",1022330,"01022330"
"17",1022500,"01022500"
"18",1023000,"01023000"
"19",1027200,"01027200"
"20",1029200,"01029200"
"21",1030500,"01030500"
"22",1031300,"01031300"
"23",1031500,"01031500"
"24",1033500,"01033500"
"25",1037380,"01037380"
"26",1044550,"01044550"
"27",1046000,"01046000"
"28",1047000,"01047000"
"29",1052500,"01052500"
"30",1054200,"01054200"
"31",1054300,"01054300"
"32",1055000,"01055000"
"33",1057000,"01057000"
"34",1064300,"01064300"
"35",1064400,"01064400"
"36",1064801,"01064801"
"37",1073000,"01073000"
"38",1074520,"01074520"
"39",1075800,"01075800"
"40",1078000,"01078000"
"41",1084500,"01084500"
"42",1085800,"01085800"
"43",1086000,"01086000"
"44",1091000,"01091000"
"45",1093800,"01093800"
"46",1115630,"01115630"
"47",1115770,"01115770"
"48",1117370,"01117370"
"49",1117800,"01117800"
"50",1118300,"01118300"
"51",1120500,"01120500"
"52",1121000,"01121000"
"53",1123000,"01123000"
"54",1127880,"01127880"
"55",1130000,"01130000"
"56",1134500,"01134500"
"57",1135000,"01135000"
"58",1135150,"01135150"
"59",1135300,"01135300"
"60",1137500,"01137500"
"61",1138000,"01138000"
"62",1139000,"01139000"
"63",1139800,"01139800"
"64",1141800,"01141800"
"65",1142500,"01142500"
"66",1144000,"01144000"
"67",1145000,"01145000"
"68",1150900,"01150900"
"69",1153500,"01153500"
"70",1154000,"01154000"
"71",1155000,"01155000"
"72",1162500,"01162500"
"73",1165500,"01165500"
"74",1169000,"01169000"
"75",1170100,"01170100"
"76",1174000,"01174000"
"77",1174565,"01174565"
"78",1174600,"01174600"
"79",1174900,"01174900"
"80",1180000,"01180000"
"81",1181000,"01181000"
"82",1187300,"01187300"
"83",1187400,"01187400"
"84",1187800,"01187800"
"85",1188000,"01188000"
"86",1193500,"01193500"
"87",1194000,"01194000"
"88",1194500,"01194500"
"89",1195100,"01195100"
"90",1195200,"01195200"
"91",1198000,"01198000"
"92",1199200,"01199200"
"93",1203805,"01203805"
"94",1208950,"01208950"
"95",1208990,"01208990"
"96",4296000,"04296000"
"97",1319000,"01319000"
"98",1333000,"01333000"
"99",1333500,"01333500"
"100",1343060,"01343060"
"101",1349711,"01349711"
"102",1349840,"01349840"
"103",1350000,"01350000"
"104",1350080,"01350080"
"105",1350140,"01350140"
"106",1361500,"01361500"
"107",1362198,"01362198"
"108",1362497,"01362497"
"109",1363382,"01363382"
"110",1364959,"01364959"
"111",1365000,"01365000"
"112",1409810,"01409810"
"113",1411300,"01411300"
"114",1413408,"01413408"
"115",1413500,"01413500"
"116",1414000,"01414000"
"117",1414500,"01414500"
"118",1415000,"01415000"
"119",1418500,"01418500"
"120",1419500,"01419500"
"121",1421618,"01421618"
"122",1422389,"01422389"
"123",1422500,"01422500"
"124",1422738,"01422738"
"125",1422747,"01422747"
"126",1423000,"01423000"
"127",1434017,"01434017"
"128",1434021,"01434021"
"129",1434025,"01434025"
"130",1439500,"01439500"
"131",1440000,"01440000"
"132",1440400,"01440400"
"133",1448500,"01448500"
"134",1451800,"01451800"
"135",1466500,"01466500"
"136",1471875,"01471875"
"137",1484000,"01484000"
"138",1484100,"01484100"
"139",1485000,"01485000"
"140",1485500,"01485500"
"141",1486000,"01486000"
"142",1487000,"01487000"
"143",1490000,"01490000"
"144",1491000,"01491000"
"145",1492000,"01492000"
"146",1492500,"01492500"
"147",1493500,"01493500"
"148",1502000,"01502000"
"149",1502500,"01502500"
"150",1505500,"01505500"
"151",1510000,"01510000"
"152",1510500,"01510500"
"153",1514000,"01514000"
"154",1516500,"01516500"
"155",1517000,"01517000"
"156",1518862,"01518862"
"157",1525981,"01525981"
"158",1526000,"01526000"
"159",1527000,"01527000"
"160",1527500,"01527500"
"161",1528000,"01528000"
"162",1532000,"01532000"
"163",1539000,"01539000"
"164",1542810,"01542810"
"165",1543000,"01543000"
"166",1543500,"01543500"
"167",1544500,"01544500"
"168",1545600,"01545600"
"169",1547700,"01547700"
"170",1548500,"01548500"
"171",1549500,"01549500"
"172",1550000,"01550000"
"173",1552000,"01552000"
"174",1552500,"01552500"
"175",1557500,"01557500"
"176",1566000,"01566000"
"177",1567500,"01567500"
"178",1568000,"01568000"
"179",1572950,"01572950"
"180",1580000,"01580000"
"181",1581810,"01581810"
"182",1581830,"01581830"
"183",1581870,"01581870"
"184",1581960,"01581960"
"185",1583000,"01583000"
"186",1583500,"01583500"
"187",1583580,"01583580"
"188",1586610,"01586610"
"189",1591400,"01591400"
"190",1594936,"01594936"
"191",1594950,"01594950"
"192",1596500,"01596500"
"193",1597000,"01597000"
"194",1601000,"01601000"
"195",1603500,"01603500"
"196",1605500,"01605500"
"197",1606000,"01606000"
"198",1606500,"01606500"
"199",1609000,"01609000"
"200",1610155,"01610155"
"201",1611500,"01611500"
"202",1613050,"01613050"
"203",1613900,"01613900"
"204",1614000,"01614000"
"205",1614090,"01614090"
"206",1620500,"01620500"
"207",1630700,"01630700"
"208",1632000,"01632000"
"209",1632900,"01632900"
"210",1634500,"01634500"
"211",1635090,"01635090"
"212",1636210,"01636210"
"213",1636690,"01636690"
"214",1638480,"01638480"
"215",1639500,"01639500"
"216",1640500,"01640500"
"217",1641500,"01641500"
"218",1643700,"01643700"
"219",1644000,"01644000"
"220",1656500,"01656500"
"221",1658500,"01658500"
"222",1659000,"01659000"
"223",1659500,"01659500"
"224",1661000,"01661000"
"225",1661050,"01661050"
"226",1661800,"01661800"
"227",1662000,"01662000"
"228",1662500,"01662500"
"229",1662800,"01662800"
"230",1663500,"01663500"
"231",1664000,"01664000"
"232",1665500,"01665500"
"233",1666500,"01666500"
"234",1667500,"01667500"
"235",1669000,"01669000"
"236",1669520,"01669520"
"237",1670000,"01670000"
"238",1673638,"01673638"
"239",2011400,"02011400"
"240",2011460,"02011460"
"241",2013000,"02013000"
"242",2014000,"02014000"
"243",2015700,"02015700"
"244",2016000,"02016000"
"245",2017500,"02017500"
"246",2018000,"02018000"
"247",2024915,"02024915"
"248",2027000,"02027000"
"249",2027500,"02027500"
"250",2028500,"02028500"
"251",2030500,"02030500"
"252",2032640,"02032640"
"253",2034500,"02034500"
"254",2038850,"02038850"
"255",4273700,"04273700"
"256",4273800,"04273800"
"257",4276842,"04276842"
"258",4278300,"04278300"
"259",4280350,"04280350"
"260",4282525,"04282525"
"261",4282650,"04282650"
"262",4282780,"04282780"
"263",2043500,"02043500"
"264",2044000,"02044000"
"265",2046000,"02046000"
"266",2051000,"02051000"
"267",2051500,"02051500"
"268",2051600,"02051600"
"269",2052500,"02052500"
"270",2053200,"02053200"
"271",2053800,"02053800"
"272",2055100,"02055100"
"273",2056900,"02056900"
"274",2059500,"02059500"
"275",2061000,"02061000"
"276",2064000,"02064000"
"277",2065500,"02065500"
"278",2066500,"02066500"
"279",2069700,"02069700"
"280",2070000,"02070000"
"281",2070500,"02070500"
"282",2074500,"02074500"
"283",2077200,"02077200"
"284",2079640,"02079640"
"285",2081500,"02081500"
"286",2082770,"02082770"
"287",2082950,"02082950"
"288",2084160,"02084160"
"289",2084557,"02084557"
"290",2085220,"02085220"
"291",2086000,"02086000"
"292",2091000,"02091000"
"293",2092500,"02092500"
"294",2096846,"02096846"
"295",2101000,"02101000"
"296",2102908,"02102908"
"297",2105900,"02105900"
"298",2108000,"02108000"
"299",2108500,"02108500"
"300",2110500,"02110500"
"301",2111180,"02111180"
"302",2111500,"02111500"
"303",2112120,"02112120"
"304",2112360,"02112360"
"305",2115500,"02115500"
"306",2118500,"02118500"
"307",2123567,"02123567"
"308",2125000,"02125000"
"309",2128000,"02128000"
"310",2135300,"02135300"
"311",2137727,"02137727"
"312",2140991,"02140991"
"313",2142000,"02142000"
"314",2143000,"02143000"
"315",2143040,"02143040"
"316",2147126,"02147126"
"317",2147500,"02147500"
"318",2149000,"02149000"
"319",2152100,"02152100"
"320",2157470,"02157470"
"321",2157490,"02157490"
"322",2167450,"02167450"
"323",2171680,"02171680"
"324",2174250,"02174250"
"325",2177000,"02177000"
"326",2178400,"02178400"
"327",2192500,"02192500"
"328",2193340,"02193340"
"329",2196000,"02196000"
"330",2197300,"02197300"
"331",2198100,"02198100"
"332",2198690,"02198690"
"333",2202600,"02202600"
"334",2204130,"02204130"
"335",2212600,"02212600"
"336",2213050,"02213050"
