"","gauge_ID","country","calculated_drain_area","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI","geometry","mdl"
"1",3618715,"BR",2489.4,0.248611605819627,0.364016396882951,0.176532836772538,0.221334019392017,0.0875308357950636,0.34497046994793,0.428571428571429,0.532967032967033,0.501831501831502,0.505863706873501,0.505863706873501,0.862548511167827,0.623952721766577,0.623952721766577,-0.208313203271327,0.883797653958944,0.738698088983368,0.775403225806452,0.814882697947214,0.706378299120235,0.517595307917889,0.538770053475936,0.61798128342246,0.543988269794721,0.68991935483871,0.799486803519062,0.772636262513904,0.658730158730159,0.840079670679753,0.843101343101343,0.829670329670329,0.827228327228327,0.892551892551892,0.363247863247863,0.473748473748474,0.453601953601954,0.539072039072039,0.506715506715507,0.175021388361316,0.0194530060657654,0.102460713492421,0.13431973301942,-0.0282485878999405,0.743777684651946,0.808279865566758,0.396670235267152,-0.247863247863248,-0.203296703296703,0.0483452984071338,0.530285428697892,0.021978021978022,-0.202075702075702,0.8304721321841,NA,c(-60.7938995361328, 4.19610023498535),"nearing-glofas"
"2",2469265,"LA",5837.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48727460171995,NA,c(105.824996948242, 15.3966999053955),"nearing-glofas"
"3",2591220,"JP",1119.9,0.239561262944737,0.295299261620454,-0.000798003585585905,0.0247899488670531,0.240167611914873,0.632221765427267,0.563636363636364,0.624242424242424,0.2,0.538549842192044,0.538549842192044,0.470266312794886,1.05521868498764,0.944781315012365,-4.72277884409607,0.781818181818182,0.881818181818182,0.163636363636364,0.436363636363636,0.536363636363636,0.763636363636364,0.927272727272727,0.881818181818182,0.936363636363636,0.863636363636364,0.872727272727273,0.609090909090909,0.624242424242424,0.539393939393939,0.709090909090909,0.515151515151515,0.757575757575757,0.927272727272727,0.6,0.624242424242424,0.6,-0.103030303030303,0.393939393939394,0.20246922931615,0.587878787878788,0.470881609348011,-0.340909090909091,0.462008213196849,0.539393939393939,0.498482545817653,0.591463414634147,0.115151515151515,0.103030303030303,-0.220184515823727,0.0975609756097561,0.284848484848485,0.127272727272727,0.999419320016189,NA,c(132.550003051758, 33.5),"nearing-glofas"
"4",5101303,"AU",2613.7,-0.352469787734924,-0.7920546315021,-0.0344885328341669,-0.271555392579634,-0.307380164021336,0.614046546370668,0.524347826086956,0.61319510349937,0.185672767288798,0.659201074944632,0.659201074944632,-0.705050963786142,0.566275310984975,0.566275310984975,0.177579163556659,0.562912298281372,0.60638696926198,0.457514353684034,0.643766911590587,0.767640711587796,0.690877167177837,0.564778332411116,0.565269132441318,0.650796052443863,0.756602184992241,0.706459247504142,0.564774916938957,0.657206369666796,NA,NA,NA,NA,0.333333333333333,0.41169431273612,0.4479398253192,0.473243296367766,0.518379217697639,0.618225346700087,0.158668124888323,0.410668496342259,0.203247630961391,0,0.767652601405805,0,0,0.715874101950051,0.110434782608696,0.195652173913043,0.450888887540458,0.412412926057716,0.547195622435021,0.266086956521739,2.10404904228807,NA,c(149.583999633789, -24.3386001586914),"nearing-glofas"
"5",1159413,"ZA",16222.1,-0.0530828795747511,0.159784701292522,-0.020779806796811,-0.248731206834602,-0.0316454856991211,0.583371712440168,0.336996336996337,-0.0671550671550672,0.178876678876679,0.470227560020399,0.470227560020399,0.457627341393434,0.637874594627493,0.637874594627493,0.0140032500102337,0.514285714285714,0.74392666157372,0.668143621084797,0.587471352177234,0.654077540106952,0.379010695187166,0.391129032258065,0.199866310160428,0.411656891495601,0.632697947214076,0.66491935483871,0.530634071810542,0.52014652014652,0.495978847055723,0.44436178144705,0.267183942925439,0.283272283272283,0.166153846153846,0.557727654459714,0.573610369701721,0.6011296055382,0.56959706959707,0.458461538461538,-0.107377426027265,0.71175572519084,-0.12124964307986,0.0702802181054962,0.0399938945279351,0.0100747978581821,0.457614222473733,0.568462836725307,0.597680097680098,0.605006105006105,0.17128002259007,0.091078117132242,0.171323884214599,0.592185592185592,1.03552686888749,NA,c(26.1244430541992, -27.9349994659424),"nearing-glofas"
"6",4243280,"CA",646.1,0.38239845713387,0.416776859899953,0.15893444131381,0.185408951200946,0.265691554614516,0.906416771165748,0.693724696356275,0.00182186234817814,0.346558704453441,0.62316608591457,0.62316608591457,0.878670409207559,0.57171906096424,0.57171906096424,0.110244537873282,0.836585365853658,0.790243902439024,0.74484052532833,0.775087108013937,0.732404181184669,0.545993031358885,0.52787456445993,0.628397212543554,0.760104529616725,0.883302063789869,0.773733583489681,0.774291497975709,0.706072874493927,-0.133319837544461,-0.0923076923076923,0.001417004048583,0.261740890688259,0.0753036437246963,0.436301062882783,0.576446177164175,0.736842105263158,0.732793522267206,0.638461538461538,0.234276453588066,0.301905432901019,0.087688945136619,0,0.299200244497346,0,0,0.752646240519583,0.0133603238866397,0.0327935222672065,0.359557310931897,0.412431730585461,0.218436773418837,0.0382591093117409,0.722760635854009,NA,c(-71.6552810668945, 45.4672241210938),"nearing-glofas"
"7",1425450,"CI",4281.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959641914026033,NA,c(-7.30999994277954, 5.36999988555908),"nearing-glofas"
"8",4147605,"US",2156.6,0.135964185829417,0.453541883089417,0.0490041560417952,-0.031578536654286,0.0914410197900333,0.79194259783155,0.768855534709193,0.371294559099437,0.48874296435272,0.591421731195656,0.591421731195656,0.710538631629143,0.781156704422602,0.781156704422602,-1.82597436544238,0.871602787456446,0.802787456445993,0.782926829268293,0.826655052264809,0.80383275261324,0.803658536585366,0.408188153310105,0.615679442508711,0.529094076655052,0.872232645403377,0.764727954971857,0.7859287054409,0.692682926829268,0.0560195199075418,0.0562851782363977,0.112950889002724,0.169230769230769,0.531144465290807,0.5564988983091,0.622889305816135,0.584803001876173,0.677110694183865,0.616885553470919,0.217695378830377,0.556078795215348,0.304914191519437,0.151389475101652,0.553548811417354,-0.0518535907773997,0.385392202912165,0.731603156967775,0.353095684803002,0.425328330206379,0.340089048546249,0.35497875291408,-0.104771735675781,0.434896810506567,0.441315523470665,NA,c(-75.1741027832031, 41.9730987548828),"nearing-glofas"
"9",4115236,"US",2777.6,0.405876907908385,0.328517245865826,0.611596422779972,0.70324546039358,-0.529654016948069,0.914466009851185,0.875862068965517,0.326108374384236,0.399014778325123,0.734714586659078,0.734714586659078,0.510772125050029,0.624275599754173,0.624275599754173,-0.106888833123743,0.273387096774194,0.369076751946607,0.50567296996663,0.626251390433815,0.672525027808676,0.739710789766407,0.923915461624027,0.908342602892102,0.812235817575083,0.824249165739711,0.880756395995551,0.758064516129032,0.903940886699507,0.0943582191730311,0.0280788177339901,-0.0177339901477832,-0.0177339901477832,0.139901477832512,0.68128078817734,0.684729064039409,0.737931034482758,0.851724137931034,0.892118226600985,-0.0373797232779325,0.433013831534284,0.156806623651678,0.199119977109542,-0.0117067167580666,0.237684314533549,0.342040528095767,0.711168725511572,0.808866995073891,0.865024630541872,0.175645401501958,0.388008304568002,0.0803054569461173,0.862068965517241,1.25809422799149,NA,c(-120.177299499512, 48.4734992980957),"nearing-glofas"
"10",6854722,"FI",597,0.125799901810162,0.552853781269974,0.2544010258926,0.326046655199411,-0.172480285714441,0.355206185904949,0.114509246088193,-0.154101469890944,0.47818871503082,0.555800616596155,0.555800616596155,0.955848676803407,1.0260251679763,0.973974832023704,-0.399715365101545,0.841995841995842,0.679614837509574,0.77765619870883,0.662326293905241,0.806543385490754,0.343035343035343,0.579385053069263,0.647007331217857,0.625779625779626,0.776276195285683,0.873727978991137,0.844403107561002,0.721431958274063,-0.257175531385964,-0.145638281325216,0.183157517952013,0.315539818950248,0.503023121495864,0.27524893314367,0.291607396870555,0.28710289236605,0.304883831199621,0.535087719298246,-0.32117221388897,0.355202280350012,0.321564964150251,-0.250015935446498,0.0791938352104327,0.353123194368806,0.378184610032756,0.690401376680266,0.672593646277857,0.513987671882409,0.0380977251112478,0.0841469470365784,0.238216646501481,0.443100995732575,0.473857495706874,NA,c(23.2865009307861, 60.179271697998),"nearing-glofas"
