"","mdl","metric","highNSE.FALSE","highNSE.TRUE","highNSE.NA","N.highNSE.FALSE","N.highNSE.TRUE","N.highNSE.NA","w.p"
"1","nearing-lstm","BE",0.177934624228702,-4.07156861609258,NA,9,9,0,4.11353352529823e-05
"2","nearing-lstm","Beta",0.487174562033804,0.687958912463022,NA,9,9,0,0.0939119703825586
"3","nearing-lstm","Gamma",0.301009921408139,1.09513543146784,NA,9,9,0,4.11353352529823e-05
"4","nearing-lstm","KGE",-0.0440775214476636,0.438783776717983,NA,9,9,0,0.0314685314685315
"5","nearing-lstm","KGEB",-0.222670915617232,0.869681222826597,NA,9,9,0,4.11353352529823e-05
"6","nearing-lstm","KGElf",-0.153847409469407,0.288866435390016,NA,9,9,0,0.0187577128753599
"7","nearing-lstm","NSE",0.153845337219736,-0.0439224226223389,NA,9,9,0,0.604812834224599
"8","nearing-lstm","NSEB",-0.0317342461618593,0.813948004916805,NA,9,9,0,4.11353352529823e-05
"9","nearing-lstm","rPearson",0.487174562033804,0.687958912463022,NA,9,9,0,0.0939119703825586
"10","nearing-lstm","r_BFI",0.554385964912281,0.625757575757576,NA,9,8,0,0.664812620947746
"11","nearing-lstm","r_QCI",0.0630369026013309,0.55098814229249,NA,8,8,0,0.0104118104118104
"12","nearing-lstm","r_dur_high_pulses",0.282509655550584,0.0474397927876489,NA,8,8,0,0.0104118104118104
"13","nearing-lstm","r_dur_low_pulses",0.650451915732053,-0.0563347488477665,NA,2,8,0,0.0444444444444444
"14","nearing-lstm","r_fld",0.611594202898551,0.551567997220171,NA,8,8,0,0.441802641802642
"15","nearing-lstm","r_halfFlowDay",0.398072977854633,0.418850595529156,NA,8,8,0,0.573737373737374
"16","nearing-lstm","r_mag_ann",0.534319762387714,-0.0173826173826174,NA,8,8,0,0.000310800310800311
"17","nearing-lstm","r_mag_m1",0.449197860962567,0.528070175438596,NA,9,9,0,0.931427396133278
"18","nearing-lstm","r_mag_m10",0.414514896867838,0.23859649122807,NA,9,9,0,0.0625257095845331
"19","nearing-lstm","r_mag_m11",0.39187675070028,0.471929824561404,NA,9,9,0,0.666474701768819
"20","nearing-lstm","r_mag_m12",0.569924812030075,0.473684210526316,NA,9,9,0,0.222418757712875
"21","nearing-lstm","r_mag_m2",0.508771929824561,0.219354838709677,NA,9,9,0,0.161497326203209
"22","nearing-lstm","r_mag_m3",0.638791139199431,0.332330827067669,NA,9,9,0,0.0244343891402715
"23","nearing-lstm","r_mag_m4",0.568548387096774,0.0676470588235294,NA,9,9,0,0.00275606746194981
"24","nearing-lstm","r_mag_m5",0.446784537049132,0.153571428571429,NA,9,9,0,0.0314685314685315
"25","nearing-lstm","r_mag_m6",0.358959559043126,0.328629032258065,NA,9,9,0,0.931427396133278
"26","nearing-lstm","r_mag_m7",0.39512849170338,0.237593984962406,NA,9,9,0,0.113492389962978
"27","nearing-lstm","r_mag_m8",0.322860962566845,0.115196078431373,NA,9,9,0,0.00777457836281366
"28","nearing-lstm","r_mag_m9",0.375804375804376,0.177443609022556,NA,9,9,0,0.297326203208556
"29","nearing-lstm","r_max_1d",0.567048121309238,-0.0118127028522418,NA,8,8,0,0.000310800310800311
"30","nearing-lstm","r_max_30d",0.562948717948718,-0.0291536606148645,NA,8,8,0,0.00466200466200466
"31","nearing-lstm","r_max_3d",0.551600438093002,0.0136363636363636,NA,8,8,0,0.000155400155400155
"32","nearing-lstm","r_max_7d",0.564103969324408,0.0272727272727273,NA,8,8,0,0.000155400155400155
"33","nearing-lstm","r_max_90d",0.518042340214814,0.0538628038628038,NA,8,8,0,0.00295260295260295
"34","nearing-lstm","r_max_timing",0.450393018046122,0.170993801738188,NA,8,7,0,0.0938616938616939
"35","nearing-lstm","r_mean_neg_diff",0.599023646071701,0.505027581114538,NA,8,8,0,0.798445998445998
"36","nearing-lstm","r_mean_pos_diff",0.607988064791134,0.501048951048951,NA,8,8,0,0.720901320901321
"37","nearing-lstm","r_min_1d",0.137202865691785,0.0980290532183174,NA,7,8,0,1
"38","nearing-lstm","r_min_30d",0.137592552906328,0.0734773756941858,NA,7,8,0,0.778865578865579
"39","nearing-lstm","r_min_3d",0.141361116053015,0.105654018221613,NA,7,8,0,0.955089355089355
"40","nearing-lstm","r_min_7d",0.182222222222222,0.0984667506406637,NA,7,8,0,0.955089355089355
"41","nearing-lstm","r_min_90d",0.217692307692308,0.367382617382617,NA,7,8,0,0.396891996891997
"42","nearing-lstm","r_min_timing",0.247010225452223,-0.00454887827214519,NA,9,8,0,0.138790621143562
"43","nearing-lstm","r_no_falls",-0.0965042574744637,-0.00354898794762647,NA,8,8,0,0.573737373737374
"44","nearing-lstm","r_no_high_pulses",0,-0.10483458312354,NA,8,8,0,0.155034372509192
"45","nearing-lstm","r_no_low_pulses",0,0.157221253717338,NA,8,8,0,0.0354885841222527
"46","nearing-lstm","r_no_rises",-0.120431973007248,-0.262080800023692,NA,8,8,0,0.645376845376845
"47","nearing-lstm","r_numDays_high",0.247549957683986,0.0662839239060671,NA,8,8,0,0.0379176379176379
"48","nearing-lstm","r_numDays_low",0.380800903213079,0.274188922898356,NA,2,8,0,0.711111111111111
"49","nearing-lstm","r_rld",-0.0886088121491867,-0.288027190201103,NA,8,8,0,0.234498834498834
"50","nearing-lstm","r_slope_fdc",0.00470878006374964,0.242657342657343,NA,6,8,0,0.141858141858142
