"","mdl","metric","highNSE.FALSE","highNSE.TRUE","N.highNSE.FALSE","N.highNSE.TRUE","w.p"
"1","lstm-arsenault2022","BE",0.701793672725803,0.600010480442246,123,25,0.101491721794607
"2","lstm-arsenault2022","Beta",0.888256772944337,0.92615707633703,123,25,1.83962917496148e-05
"3","lstm-arsenault2022","Beta_p",0.937322233377705,0.949599251832517,123,25,0.470542976499298
"4","lstm-arsenault2022","Gamma",0.935812405664492,1.00124220577449,123,25,0.00221052383631179
"5","lstm-arsenault2022","Gamma_p",0.913758080195838,0.936264157517303,123,25,0.112628792002514
"6","lstm-arsenault2022","KGE",0.814159487868268,0.875795145642415,123,25,0.00371100424161984
"7","lstm-arsenault2022","KGEB",0.227294996961322,0.671307403514558,123,25,3.66433288409041e-15
"8","lstm-arsenault2022","KGElf",0.497159779489723,0.725515753122282,123,25,0.00330805609550248
"9","lstm-arsenault2022","NSE",0.766505875509521,0.826568087262855,123,25,0.000482528717480276
"10","lstm-arsenault2022","NSEB",0.180615177471639,0.577576913761818,123,25,3.66433288409041e-15
"11","lstm-arsenault2022","rPearson",0.888256772944337,0.92615707633703,123,25,1.83962917496148e-05
"12","lstm-arsenault2022","r_BFI",0.744829850093008,0.816091954022988,123,25,0.0643057477973336
"13","lstm-arsenault2022","r_QCI",0.820592020592021,0.856521739130435,123,25,0.143285431278921
"14","lstm-arsenault2022","r_dur_high_pulses",0.57714985338782,0.348608042114462,123,25,2.90023247222561e-05
"15","lstm-arsenault2022","r_dur_low_pulses",0.498719955493266,0.391986550854581,123,25,0.0358764036678002
"16","lstm-arsenault2022","r_fld",0.905791505791506,0.805645161290323,123,25,0.0108147898912583
"17","lstm-arsenault2022","r_halfFlowDay",0.896227629715463,0.880894276555226,123,25,0.837800231064079
"18","lstm-arsenault2022","r_mag_ann",0.901415701415702,0.868965517241379,123,25,0.392739804983094
"19","lstm-arsenault2022","r_mag_m1",0.910384068278805,0.852509652509653,123,25,0.000535902889947222
"20","lstm-arsenault2022","r_mag_m10",0.872925557136083,0.856804172593646,123,25,0.601665473974547
"21","lstm-arsenault2022","r_mag_m11",0.890374331550802,0.891879866518354,123,25,0.55960943951256
"22","lstm-arsenault2022","r_mag_m12",0.922529817266659,0.908357771260997,123,25,0.029820214556565
"23","lstm-arsenault2022","r_mag_m2",0.911806543385491,0.8,123,25,1.24040843297064e-06
"24","lstm-arsenault2022","r_mag_m3",0.89900426742532,0.84015444015444,123,25,2.47563841316391e-05
"25","lstm-arsenault2022","r_mag_m4",0.911454311454312,0.879021879021879,123,25,0.304841742595938
"26","lstm-arsenault2022","r_mag_m5",0.906827880512091,0.918255131964809,123,25,0.103101196862042
"27","lstm-arsenault2022","r_mag_m6",0.840208629682314,0.835941204362257,123,25,0.934739337266003
"28","lstm-arsenault2022","r_mag_m7",0.798719772403983,0.820056899004267,123,25,0.228118047036808
"29","lstm-arsenault2022","r_mag_m8",0.744828405078195,0.781467181467182,123,25,0.00755237816286893
"30","lstm-arsenault2022","r_mag_m9",0.788051209103841,0.803603603603604,123,25,0.727837416785912
"31","lstm-arsenault2022","r_max_1d",0.766587298067222,0.864387817623044,123,25,0.00199422139860348
"32","lstm-arsenault2022","r_max_30d",0.882625482625483,0.893103448275862,123,25,0.05660448296956
"33","lstm-arsenault2022","r_max_3d",0.775350140056022,0.874430984706175,123,25,0.00520174367680125
"34","lstm-arsenault2022","r_max_7d",0.808866995073891,0.872994652406417,123,25,0.0212805412891103
"35","lstm-arsenault2022","r_max_90d",0.882552230378317,0.869187986651835,123,25,0.932704710855232
"36","lstm-arsenault2022","r_max_timing",0.57610148288757,0.597803641599719,123,25,0.502590814009364
"37","lstm-arsenault2022","r_mean_neg_diff",0.93951093951094,0.863711001642036,123,25,0.00415781037163585
"38","lstm-arsenault2022","r_mean_pos_diff",0.928442728442729,0.848133848133848,123,25,1.66626709839471e-06
"39","lstm-arsenault2022","r_min_1d",0.570729828386051,0.56675568826367,123,25,0.716333353931385
"40","lstm-arsenault2022","r_min_30d",0.635819552124257,0.580869565217391,123,25,0.271198920882302
"41","lstm-arsenault2022","r_min_3d",0.589121349897,0.598262032085562,123,25,0.702994420267033
"42","lstm-arsenault2022","r_min_7d",0.623166023166023,0.573913043478261,123,25,0.519032099867165
"43","lstm-arsenault2022","r_min_90d",0.673616473616474,0.772727272727273,123,25,0.00589931537347141
"44","lstm-arsenault2022","r_min_timing",0.403799101867512,0.434861909187849,123,25,0.412882158118298
"45","lstm-arsenault2022","r_no_falls",0.145666474352311,0.0890884113867736,123,25,0.0809611772880692
"46","lstm-arsenault2022","r_no_high_pulses",0.465877876773666,0.432240894320796,123,25,0.119760135901175
"47","lstm-arsenault2022","r_no_low_pulses",0.244170315633483,0.280607388563006,123,25,0.727828950943562
"48","lstm-arsenault2022","r_no_rises",0.213450031182578,0.132022549737613,123,25,0.0324195457260591
"49","lstm-arsenault2022","r_numDays_high",0.857667305246809,0.793916260658224,123,25,0.0836690497202368
"50","lstm-arsenault2022","r_numDays_low",0.749967829126364,0.753224064356649,123,25,0.351619908505995
"51","lstm-arsenault2022","r_rld",0.123061080257467,0.0905169655715759,123,25,0.766598841625353
"52","lstm-arsenault2022","r_slope_fdc",0.601029601029601,0.547490347490348,123,25,0.219352493832484
