"","mdl","metric","highNSE.FALSE","highNSE.TRUE","N.highNSE.FALSE","N.highNSE.TRUE","w.p"
"1","lstm-Kraft2025","BE",0.717295535089579,0.506149622463291,74,24,0.000352863290065677
"2","lstm-Kraft2025","Beta",0.900142825322446,0.934735851800405,74,24,0.000352863290065677
"3","lstm-Kraft2025","Beta_p",0.844986891824749,0.862557137634383,74,24,0.775631180321394
"4","lstm-Kraft2025","Gamma",0.873623681787695,0.973798101212965,74,24,0.055811473851664
"5","lstm-Kraft2025","Gamma_p",0.841281500720847,0.915381208704051,74,24,0.0071650820542855
"6","lstm-Kraft2025","KGE",0.710226031463562,0.763721614908921,74,24,0.0507234985488511
"7","lstm-Kraft2025","KGEB",-0.032542082896344,0.749290362358749,74,24,2.26815952130004e-13
"8","lstm-Kraft2025","KGElf",0.618131024764831,0.681982742015818,74,24,0.706997279046809
"9","lstm-Kraft2025","NSE",0.741623653103114,0.820589938408096,74,24,0.0271111462031066
"10","lstm-Kraft2025","NSEB",0.0538760398439258,0.670289998982387,74,24,2.26815952130004e-13
"11","lstm-Kraft2025","rPearson",0.900142825322446,0.934735851800405,74,24,0.000352863290065677
"12","lstm-Kraft2025","r_BFI",0.682284505552618,0.626718558828918,74,24,0.201821182917509
"13","lstm-Kraft2025","r_QCI",0.839759845834633,0.770825229230342,74,24,0.000400138040406161
"14","lstm-Kraft2025","r_dur_high_pulses",0.676128863237143,0.511940815869591,74,24,1.52655119406511e-05
"15","lstm-Kraft2025","r_dur_low_pulses",0.633631450036469,0.277955260803405,74,24,1.28439798838285e-08
"16","lstm-Kraft2025","r_fld",0.926089685191299,0.78588496804668,74,24,2.92439042156425e-09
"17","lstm-Kraft2025","r_halfFlowDay",0.911307620831789,0.824367188579029,74,24,1.41613384402841e-05
"18","lstm-Kraft2025","r_mag_ann",0.9204609719166,0.81125558673428,74,24,9.43276987981797e-07
"19","lstm-Kraft2025","r_mag_m1",0.926148483035766,0.570070767373299,74,24,1.65710186991762e-10
"20","lstm-Kraft2025","r_mag_m10",0.951807494830751,0.856213643574828,74,24,5.42846201390346e-07
"21","lstm-Kraft2025","r_mag_m11",0.939591222648464,0.83582426343401,74,24,4.85260824146306e-08
"22","lstm-Kraft2025","r_mag_m12",0.934382337344096,0.631814841040074,74,24,1.65710186991762e-10
"23","lstm-Kraft2025","r_mag_m2",0.90957196045664,0.399614634642363,74,24,1.19686154904063e-10
"24","lstm-Kraft2025","r_mag_m3",0.895929490169424,0.662784410394976,74,24,7.32779372990216e-10
"25","lstm-Kraft2025","r_mag_m4",0.939635113696457,0.769196192490746,74,24,1.51101409364939e-09
"26","lstm-Kraft2025","r_mag_m5",0.935735733044125,0.890699365415124,74,24,0.000248391050805008
"27","lstm-Kraft2025","r_mag_m6",0.942832711752857,0.833130618720254,74,24,1.26988487076674e-07
"28","lstm-Kraft2025","r_mag_m7",0.943224604852512,0.82191368065025,74,24,2.07855277118817e-08
"29","lstm-Kraft2025","r_mag_m8",0.93842655919091,0.797767305882641,74,24,2.07855277118817e-08
"30","lstm-Kraft2025","r_mag_m9",0.944685351665785,0.865354976788638,74,24,2.47959942283742e-07
"31","lstm-Kraft2025","r_max_1d",0.759155612702211,0.670903877853021,74,24,0.00144876976500873
"32","lstm-Kraft2025","r_max_30d",0.872557032125782,0.752997368535101,74,24,3.07477940223015e-05
"33","lstm-Kraft2025","r_max_3d",0.819577549619711,0.734175142959026,74,24,1.47035447326465e-05
"34","lstm-Kraft2025","r_max_7d",0.83046144080642,0.744942448985911,74,24,0.000273561682318881
"35","lstm-Kraft2025","r_max_90d",0.891153282894402,0.765642584354326,74,24,1.16317047848339e-06
"36","lstm-Kraft2025","r_max_timing",0.65875058564777,0.45707797321252,74,24,8.63745591350827e-06
"37","lstm-Kraft2025","r_mean_neg_diff",0.951895809828587,0.801728229754138,74,24,7.02473058613284e-08
"38","lstm-Kraft2025","r_mean_pos_diff",0.919046463692637,0.827108583802014,74,24,6.04902243663964e-05
"39","lstm-Kraft2025","r_min_1d",0.688452354449169,0.412839239356388,74,24,6.72269214593569e-07
"40","lstm-Kraft2025","r_min_30d",0.828838033335142,0.43623779032001,74,24,1.05397461293766e-09
"41","lstm-Kraft2025","r_min_3d",0.706089218006597,0.415284405633549,74,24,2.17173006263871e-07
"42","lstm-Kraft2025","r_min_7d",0.737358353001954,0.416951039959668,74,24,2.39761079912148e-08
"43","lstm-Kraft2025","r_min_90d",0.880744651292026,0.54984773447353,74,24,2.83490083584076e-10
"44","lstm-Kraft2025","r_min_timing",0.441517539325968,0.177810358934851,74,24,1.5202140852255e-07
"45","lstm-Kraft2025","r_no_falls",0.385060876999713,0.0822997329647349,74,24,1.73863412748907e-07
"46","lstm-Kraft2025","r_no_high_pulses",0.468515400624498,0.324066652433431,74,24,0.00108552528230135
"47","lstm-Kraft2025","r_no_low_pulses",0.345531877682546,0.0536665042634936,74,24,4.62602670383821e-06
"48","lstm-Kraft2025","r_no_rises",0.375999355038806,0.224214864685105,74,24,0.00030110791407708
"49","lstm-Kraft2025","r_numDays_high",0.877393344198705,0.760462124277128,74,24,2.29625108614076e-05
"50","lstm-Kraft2025","r_numDays_low",0.815724857443796,0.464345607419815,74,24,6.58388090093595e-06
"51","lstm-Kraft2025","r_rld",0.255052508882818,0.115581800015754,74,24,0.000497380424978045
"52","lstm-Kraft2025","r_slope_fdc",0.661397686337542,0.705461287139148,74,24,0.413427286260674
