"","mdl","metric","highNSE.FALSE","highNSE.TRUE","N.highNSE.FALSE","N.highNSE.TRUE","w.p"
"1","lstm-kratzert2024","BE",0.807551879654331,0.721847550010537,490,41,2.62249410583788e-05
"2","lstm-kratzert2024","Beta",0.911047158206962,0.960991170632388,490,41,4.75814626542098e-15
"3","lstm-kratzert2024","Beta_p",0.916808986937401,0.903006077720103,490,41,0.761449856900547
"4","lstm-kratzert2024","Gamma",0.894025816068293,0.960439524305148,490,41,0.000122761092006705
"5","lstm-kratzert2024","Gamma_p",0.885846566704053,0.954307935520838,490,41,6.38376089446422e-08
"6","lstm-kratzert2024","KGE",0.814705456933138,0.873193110361937,490,41,6.06424719867369e-07
"7","lstm-kratzert2024","KGEB",0.0278823668532318,0.744483767350779,490,41,1.87528161434165e-26
"8","lstm-kratzert2024","KGElf",0.609566278734204,0.813983070264769,490,41,2.55807040717172e-07
"9","lstm-kratzert2024","NSE",0.809327507421649,0.905403110174236,490,41,1.4662444915324e-12
"10","lstm-kratzert2024","NSEB",-0.0103657526019851,0.636601600353355,490,41,1.87528161434165e-26
"11","lstm-kratzert2024","rPearson",0.911047158206962,0.960991170632388,490,41,4.75814626542098e-15
"12","lstm-kratzert2024","r_BFI",0.763636363636363,0.563636363636364,490,41,6.67874705009986e-06
"13","lstm-kratzert2024","r_QCI",0.842424242424242,0.793939393939394,489,41,0.061234816992931
"14","lstm-kratzert2024","r_dur_high_pulses",0.745454545454545,0.475609756097561,490,41,2.40194824215297e-10
"15","lstm-kratzert2024","r_dur_low_pulses",0.551515151515151,0.361990440292511,490,41,0.00370751918917923
"16","lstm-kratzert2024","r_fld",0.966666666666667,0.883333333333333,489,41,4.12135652206099e-06
"17","lstm-kratzert2024","r_halfFlowDay",0.915151515151515,0.829268292682927,489,41,0.000493074801933051
"18","lstm-kratzert2024","r_mag_ann",0.915151515151515,0.890909090909091,490,41,0.00586029938929018
"19","lstm-kratzert2024","r_mag_m1",0.890909090909091,0.648484848484848,489,41,1.54278224241956e-12
"20","lstm-kratzert2024","r_mag_m10",0.915151515151515,0.793939393939394,490,41,4.47377809950797e-07
"21","lstm-kratzert2024","r_mag_m11",0.915151515151515,0.757575757575757,489,41,8.63688655943711e-10
"22","lstm-kratzert2024","r_mag_m12",0.927272727272727,0.660606060606061,490,41,6.92279011931525e-16
"23","lstm-kratzert2024","r_mag_m2",0.915151515151515,0.612121212121212,490,41,7.17821170743746e-18
"24","lstm-kratzert2024","r_mag_m3",0.915151515151515,0.636363636363636,490,41,2.118221004441e-13
"25","lstm-kratzert2024","r_mag_m4",0.927272727272727,0.793939393939394,490,41,1.12811589434045e-10
"26","lstm-kratzert2024","r_mag_m5",0.915151515151515,0.842424242424242,490,41,1.66882463142848e-07
"27","lstm-kratzert2024","r_mag_m6",0.903030303030303,0.890909090909091,490,41,0.721057683701683
"28","lstm-kratzert2024","r_mag_m7",0.872727272727273,0.890909090909091,490,41,0.160615022555561
"29","lstm-kratzert2024","r_mag_m8",0.854545454545454,0.878787878787879,490,41,0.895811642147012
"30","lstm-kratzert2024","r_mag_m9",0.878787878787879,0.793939393939394,490,41,0.00394156976028867
"31","lstm-kratzert2024","r_max_1d",0.83030303030303,0.83030303030303,490,41,0.814767748852856
"32","lstm-kratzert2024","r_max_30d",0.9,0.866666666666667,490,41,0.0116398314237676
"33","lstm-kratzert2024","r_max_3d",0.866666666666667,0.816666666666667,490,41,0.364895716740345
"34","lstm-kratzert2024","r_max_7d",0.866666666666667,0.833333333333333,490,41,0.0862581644827733
"35","lstm-kratzert2024","r_max_90d",0.916666666666667,0.866666666666667,490,41,0.00044551964887781
"36","lstm-kratzert2024","r_max_timing",0.716666666666667,0.560674363866334,490,41,0.0145007773620041
"37","lstm-kratzert2024","r_mean_neg_diff",0.966666666666667,0.916666666666667,489,41,5.52821020393762e-07
"38","lstm-kratzert2024","r_mean_pos_diff",0.95,0.883333333333333,489,41,7.54598978963502e-05
"39","lstm-kratzert2024","r_min_1d",0.672727272727273,0.466666666666667,471,41,5.60586828669238e-05
"40","lstm-kratzert2024","r_min_30d",0.75,0.6,479,41,0.000363280587052798
"41","lstm-kratzert2024","r_min_3d",0.666666666666667,0.566666666666667,470,41,0.00196473350526847
"42","lstm-kratzert2024","r_min_7d",0.7,0.55,473,41,0.000235746841383384
"43","lstm-kratzert2024","r_min_90d",0.8,0.7,489,41,0.00160177859619365
"44","lstm-kratzert2024","r_min_timing",0.533333333333333,0.200838578101374,489,41,1.480277019009e-07
"45","lstm-kratzert2024","r_no_falls",0.274710746503969,0.271186440677966,490,41,0.661663112338995
"46","lstm-kratzert2024","r_no_high_pulses",0.51205692700857,0.293359410884466,490,41,0.000124071162628521
"47","lstm-kratzert2024","r_no_low_pulses",0.345810853301268,0.0753778361444409,490,41,6.31086397291284e-06
"48","lstm-kratzert2024","r_no_rises",0.312636961056789,0.208512526151834,490,41,0.474463561259174
"49","lstm-kratzert2024","r_numDays_high",0.893621149209695,0.757575757575757,490,41,8.59041778771331e-06
"50","lstm-kratzert2024","r_numDays_low",0.784198151347283,0.676841850984206,490,41,0.062912579136596
"51","lstm-kratzert2024","r_rld",0.133333333333333,0.0833333333333333,490,41,0.676688662561496
"52","lstm-kratzert2024","r_slope_fdc",0.76969696969697,0.696969696969697,489,41,0.245291691209034
