"","gauge_id","gauge_id2","src","area_km2","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Gamma","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","mdl"
"1","925001A","camels-aus-v2-925001A","camels-aus-v2",3301.34353551634,-14.1283750743715,-0.6880389903545,0.374675220234249,0.464106980104622,-23.1928283731834,-0.182501590552024,-0.0430341147322279,-0.269449209071851,-0.192207792207792,-0.0478140866593137,-0.0478140866593137,2.05643792139983,-0.277501626023436,-0.119976665802437,-0.0930127041742287,-0.0381408065618592,-0.0533910533910534,-0.0816814764183185,-0.0479559506598173,0.0388077147866745,0.112321523003702,0.111898466419884,0.122092343658679,0.186382232612507,-0.0171337168168815,-0.042652944539737,0.166164754799999,0.180941490375453,0.182618639222413,0.121326472269868,0.145991633228037,-0.114008004574042,-0.116752429959977,-0.159824661711454,-0.153039832285115,-0.144711004866388,0.146051600408738,-0.0167341092645906,-0.0126926931964714,0,-0.08462658125362,0,0,0.029094264656647,-0.0195035155628749,-0.16790875059212,-0.0444751954085376,0.0393437218791911,0.0122910381348655,-0.162560121449254,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"2","G9070142","camels-aus-v2-G9070142","camels-aus-v2",4018.47741455463,-0.41355695797575,-1.12304927935907,0.0467291913698709,-0.0514648569163205,-0.48284930701598,0.0990868978386541,-0.348768472906404,0.413997093159187,-0.149261083743842,-0.00662240364287283,-0.00662240364287283,0.208033979456354,-0.234375443689084,0.194621848739496,-0.0987755102040816,0.257194570135747,0.534248322835138,0.616174859845437,0.625878658992523,0.723991012461246,0.670323858577006,0.642041318190322,0.621291784772871,0.328380134398942,0.300335378439511,0.467487684729064,0.580285768706497,0.628395071542958,0.632146683910378,0.686644405180198,0.759958421758028,0.533760537965951,0.476847290640394,0.421182266009852,0.448275862068965,0.425287356321839,-0.217338431088931,0.0165599010136801,0,0,-0.064557673378797,0,0,-0.0369447511021911,-0.648285286901218,-0.756989782808032,0.194889829627319,0.239887488894903,0.159332006675149,-0.724966134332586,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"3","G0050115","camels-aus-v2-G0050115","camels-aus-v2",3335.86503472045,-0.00510920407972204,-0.433386873826622,-0.0218751426409891,-0.312705217768461,0.0164070323874758,-0.088618390904952,0.0956671212634256,0.153156858104601,-0.0373018809998413,-0.0590842885644416,-0.0590842885644416,0.0351065035124457,-0.419861729974182,-0.0968927208531527,0.0850512003404833,-0.120503695196994,-0.00927856606136195,0.0430768681378129,-0.0294271526745243,0.0114368692020106,-0.0129164885177775,-0.0571958924300173,-0.0605637025523934,-0.152704424348057,-0.0253969963081325,0.0295284529295977,-0.113548276442027,-0.113548276442027,-0.109157332237688,-0.0706027019048797,-0.0755635396447573,0.0169111497762349,0.0225922391541888,0.00720045049066252,0.00759680556354303,-0.0058078240664826,-0.262284421123164,0.0791182109384492,0,0,-0.0900482307423914,0,0,-0.106056805096594,-0.063755297829981,-0.0649143072888433,0.130138009780202,-0.151768346125341,0.1931093540713,-0.0733700787793739,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"4","410044","camels-aus-v2-410044","camels-aus-v2",1063.13284633744,-0.0897880485783524,-0.707493815300514,0.00297416760077296,-0.214678657015391,-0.0930389295490006,-0.0838155440787211,0.208816141317559,-0.194716797666316,-0.229688915735427,0.00324253239926114,0.00324253239926114,0.0797574954684655,-0.4955252948108,0.235655738563904,0.243217286914766,0.0672472181906144,0.136940836940837,0.197886958776251,0.0908882783882784,0.0718440734305356,0.0868525093802725,0.161391050338697,0.237463471654004,0.140523723100856,0.0671007774419664,-0.0559922210517786,0.218711409541477,0.215420822758834,0.200640447976367,0.300226524857413,0.226078799249531,-0.0412446317154201,-0.0540474839964347,-0.0650676606433838,-0.025609756097561,-0.142213883677298,-0.386684626070205,0.0420533401406778,0,0,0.175270275121349,0,0,0.31146159293009,-0.0947935160302695,-0.0418258208056421,0.00560153895446561,-0.162133307258341,-0.124415335161436,-0.0428004030380066,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"5","410091","camels-aus-v2-410091","camels-aus-v2",2638.38547891673,-4.83026186912461,-0.84355362935261,0.0279342838491172,-0.0834772041587795,-4.99780629257338,-0.303947548525676,0.129131652661064,-0.143137254901961,-0.283140283140283,-0.013953960594489,-0.013953960594489,0.846890633324263,-0.488805865430097,0.350640113798009,0.263157894736842,0.512091038406828,0.348944085786191,0.48909435751541,0.412348178137652,0.421818579713317,0.373892110734216,0.359886201991465,0.291093117408907,0.295951417004049,0.355668016194332,0.335574229691877,0.405070384073404,0.398067092509202,0.372829131652661,0.370206264323911,0.383651642475172,0.430532212885154,0.439495798319328,0.444257703081233,0.441711229946524,0.368372803666921,-0.394742096602136,-0.127971902171132,0,0,0.0841817386285455,0,0,0.145699163010944,0.0565826330532213,0.00420168067226891,-0.279095920241318,-0.36561256565619,-0.296451054470978,-0.0661064425770308,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"6","412028","camels-aus-v2-412028","camels-aus-v2",2637.54627577422,-0.170560015510543,-0.337879828832895,0.0121507609277144,-0.174273446884365,-0.184958158807558,-0.0902722939221489,-0.168530692393068,-0.219328950738496,0.0130624092888244,0.0714854055497241,0.0714854055497241,0.272810522411999,-0.336901174150869,0.234986318738433,0.224537064833095,0.361107613434984,0.455706547918907,0.444849808617487,0.391945084485407,0.374993053626007,0.410747792918884,0.444687869859737,0.422006112809114,0.271708090957166,0.0410915437668074,0.451720310765816,0.480047613426179,0.490307010281222,0.499302067204058,0.53158091715653,0.517975519940713,0.289336634508666,0.303643465523479,0.317083582344404,0.397285067873303,0.525701357466063,-0.267023540493892,-0.297205009222677,0.328402796123081,0,0.225241737092625,0,0,0.375606693293016,-0.00175022945121083,-0.408776573038504,-0.145355459223625,-0.179532017326485,-0.332769861968459,-0.39451891061214,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"7","412029","camels-aus-v2-412029","camels-aus-v2",1550.82588920622,-32.4139771410242,-1.32350083380092,0.00266097779605057,-0.219914673571458,-32.5031282213194,0.203153989529215,-0.227623964908557,0.244774744626986,-0.292640692640693,0.00110961680858412,0.00110961680858412,2.84346838687629,-2.17410611713051,-0.157293782344427,-0.242741265935473,-0.143275661739862,-0.133693425749021,-0.0156140070169995,-0.0798597036093028,-0.270751921783636,0.151150278938855,-0.10286844866767,0.00398234526756387,-0.0271333963872694,-0.17924570212914,0.0134201554883933,-0.108208861437426,-0.108123953785884,-0.123601174012286,-0.127261229494082,-0.219389832122293,-0.0959613268793713,-0.0844171071044094,-0.203106116665737,-0.125108225108225,-0.0738135181555943,0.0710127614932536,-0.0528850604669437,-0.10770767886436,0.00819643495890028,0.0120127161841465,0.198114429899186,0.13333122197883,-0.139713521135475,-0.0491856152233511,0.402676987582648,-0.128779132769327,-0.17117592734145,-0.166230389921597,0.384131591678761,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"8","412066","camels-aus-v2-412066","camels-aus-v2",1635.38520471789,-0.0544270810552259,-0.386888925182343,0.00502690287070973,-0.198301726392059,-0.0597543633063777,0.0483471463068131,-0.130709468112354,-0.215828566549987,-0.120464441219158,0.0708460900572686,0.0708460900572686,0.159445541587218,-0.371360558152969,0.165672802696396,0.195294270158154,0.320974850920405,0.451841028638223,0.417948830389887,0.377440093512566,0.361656015559878,0.412670186162823,0.479485680888369,0.462794918330309,0.281954887218045,0.0917871266594209,0.452830188679245,0.421165195352196,0.428601525962693,0.442264027916681,0.483456999060138,0.447024673439768,0.368308716810382,0.339964142405874,0.338256637923675,0.426790745325706,0.498932809698625,-0.204048475560329,-0.345720785963624,0.195194575977674,0,0.240146394288955,0,0,0.294587384608753,0.046325947855539,-0.45079080499479,0.108101854835744,-0.165886691404991,-0.360220225264077,-0.463640050478069,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"9","416010","camels-aus-v2-416010","camels-aus-v2",2142.93274298004,-0.0401547549507482,-0.624773269802947,-0.0215231006830008,-0.309048229194215,-0.0182390924446938,-0.0405262537356815,-0.109372797744891,-0.180690627202255,-0.066403162055336,-0.0194379874748048,-0.0194379874748048,0.0693132491558565,-0.548281074983419,-0.118731882726608,-0.00234423206710088,0.0270128588737393,0.0872924021720246,-0.028195235122688,-0.0361013208799556,-0.0390379278445883,0.00832562442183164,-0.0353839037927845,0.0308973172987974,0.104071565715768,-0.0114490575531427,-0.0848484848484849,-0.0941339418098192,-0.0891493190481546,-0.0715080864490425,-0.0352633672733222,-0.0860049696790442,-0.101338971106413,-0.0535588442565187,-0.0412966878083157,-0.0414376321353066,-0.022692036645525,-0.131470560692916,-0.255252411769883,0,0,0.16870310613597,0,0,0.177257528602745,0.0878899127054773,-0.185517025253066,0.0424987927985935,-0.146159982817321,-0.128811585487819,-0.176567888506555,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"10","416032","camels-aus-v2-416032","camels-aus-v2",1586.71721064528,-0.0806395667045112,-0.647347837470649,-0.0173053686336351,-0.295266754694993,-0.062256820836345,-0.0361958167405857,-0.101581027667984,-0.120444033302498,-0.0899077795177816,-0.000167820415545118,-0.000167820415545118,0.100496587249957,-0.459771207743339,-0.0641056422569028,0.168263343706212,0.0843237532956929,0.361669560001471,0.305934101070703,0.259664794935417,0.332661001390352,0.257551746853827,0.145933259255672,0.25912584801033,0.244182913205077,0.0260639381048179,0.27018193031144,0.416521235714187,0.413167524408452,0.421048320763211,0.324880023219458,0.216643213251356,0.251927227875424,0.244279987665742,0.229232192414431,0.200131752305665,0.264411557434813,-0.341425144795617,0.203990958811494,0,0,0.122855677069128,0,0,0.145909117767918,-0.250514035481776,-0.383783867168337,0.123922415847565,-0.182500381414029,-0.0374784110411719,-0.366249255580089,"classic_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
