"","gauge_id","gauge_id2","src","area_km2","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Gamma","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","mdl"
"1","925001A","camels-aus-v2-925001A","camels-aus-v2",3301.34353551634,-0.963565132173579,0.29858569070766,0.378959430642459,0.468480894796328,-2.16173407834671,0.544406898291685,0.396998123827392,0.179174484052533,0.495872420262664,0.352310046308783,0.352310046308783,1.12023089000958,0.16516718734998,0.667036820572765,0.616067653276956,0.687778768956289,0.784936479128857,0.679534898028238,0.698749652681301,0.65076679005817,0.57674196066581,0.562891893933671,0.557654904140039,0.566768546818561,0.652717708942139,0.772983114446529,0.602336169590122,0.592120075046904,0.596060037523452,0.618386491557223,0.684210526315789,0.58499061913696,0.685365853658537,0.640712945590994,0.621013133208255,0.736732684101105,0.538621339457343,0.0984453656352464,0.127115801381094,0,0.375984990619137,0,0,0.807686915096648,0.0433395872420263,-0.0714821763602251,0.0831764277594767,0.0281464757529045,-0.329393002669237,-0.14484052532833,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"2","G9070142","camels-aus-v2-G9070142","camels-aus-v2",4018.47741455463,-3.70923386576131,-0.306121949664648,0.0458934656662107,-0.0546743290254512,-3.93575266104802,0.704486494815893,0.594805194805195,0.394283879190618,0.645454545454546,0.310522272182398,0.310522272182398,1.06841952285678,-0.41267228805566,0.829864253393665,0.805263157894737,0.686416801844105,0.702730831194136,0.561889559411614,0.528319090875922,0.552379208432997,0.644125381158688,0.603082289450522,0.567639564442482,0.488120543845292,0.615351214135606,0.898701298701299,-0.0278061199749988,0.0651203294055074,0.120472609400189,0.214291300024951,0.281312349550953,0.735303708803591,0.849350649350649,0.864935064935065,0.887012987012987,0.907792207792208,0.20767115884309,0.360234944350995,0.265802359919182,0,0.14494638399519,0,0,0.185403208431139,0.207792207792208,0.0688311688311688,-0.159322362160889,-0.0927203910936319,0.0714517738236705,0.0558441558441558,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"3","G0050115","camels-aus-v2-G0050115","camels-aus-v2",3335.86503472045,-18.555463190986,-2.40775400876893,-0.0212258968393775,-0.315652042950065,-18.1490083158964,0.490381679389313,0.330891330891331,-0.167548065079778,0.387451788472961,0.0508696425397998,0.0508696425397998,1.01780271956835,-0.734510445692346,0.365843018567107,0.48574053365517,0.436834442204614,0.284040684620925,0.296115761284536,0.335052435231337,0.180045586175794,0.224569446259458,0.204834527067352,0.228980360414411,0.328745766479875,0.533784538339135,0.524325846024597,-0.0322251615853423,-0.0263172152946962,-0.0488748284044359,0.00157389758555773,0.0649155732757341,0.523098276001713,0.529849911127578,0.543966966390751,0.591535304777531,0.633169644305169,0.0186547229780152,-0.0493666584487069,0.0115931607540866,0,0.135897095137047,0,0,0.16984509134842,-0.0696076942928947,-0.0628815628815629,0.227276872962994,0.185083181739086,0.143220070280145,-0.0567765567765568,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"4","410044","camels-aus-v2-410044","camels-aus-v2",1063.13284633744,-6.65466243114376,-0.848671706678715,0.00431279523337236,-0.210998491269883,-6.68781841777096,0.677419364300855,0.0768716577540107,0.0902406417112299,0.435905271199389,0.155707836198006,0.155707836198006,1.02412267009416,-0.0117625522193801,0.437197424363659,0.281321807637597,0.412987012987013,0.618615504277936,0.597428404441847,0.739150401836969,0.8753663003663,0.806043956043956,0.756639194139194,0.819513484928609,0.588895382817066,0.476932799725563,0.666109625668449,0.504529999870778,0.514262119188151,0.431175932670745,0.451837596985208,0.485887096774194,0.398061497326203,0.49331550802139,0.570855614973262,0.495967741935484,0.518145161290323,0.178804292679645,0.290444874299485,0.101332154464424,0.368247136974912,0.500668449197861,0.0269315788558725,0.20028671947269,0.475466021890191,-0.114304812834225,-0.102272727272727,0.0922201162207161,0.128453071517912,-0.133868137845176,-0.0868983957219251,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"5","410091","camels-aus-v2-410091","camels-aus-v2",2638.38547891673,-13.5226666639175,-3.16832434099513,0.0285782534282127,-0.0857180051352613,-13.9499089506376,0.862358732581202,0.349206349206349,0.0518925518925519,-0.0481663929939792,0.145930357057241,0.145930357057241,0.721326972586689,-0.0816856829730599,0.744939271255061,0.681773399014778,0.686032388663968,0.604502814258912,0.651214574898785,0.671777003484321,0.74296435272045,0.762851782363977,0.857410881801126,0.89616724738676,0.870557491289199,0.878919860627178,0.871794871794872,0.6612730957825,0.682033285308451,0.653235653235653,0.656068376068376,0.712820512820513,0.597680097680098,0.663614163614163,0.721611721611721,0.740854700854701,0.886495726495726,0.286618821416809,0.225495863992205,-0.310912635102961,0.0115362432434226,0.521344190646041,0.310056932732514,0.335895010460223,0.593969723885983,-0.685592185592185,-0.615384615384615,-0.170346807812807,-0.184052956334158,0.231145048943304,-0.608669108669109,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"6","412028","camels-aus-v2-412028","camels-aus-v2",2637.54627577422,-0.296652524185727,0.154965588734587,0.0121206814449284,-0.174391845528242,-0.312561666016336,0.731962367337402,0.408188153310105,-0.0362369337979094,0.479790940766551,0.177909284242892,0.177909284242892,0.899756789515054,0.122704994651766,0.505400605450097,0.468532038058941,0.64872537464615,0.69237050057851,0.80550121815058,0.761568740399385,0.808835787718811,0.819557660955428,0.785500239228425,0.844178938594054,0.780433632998414,0.650113703378845,0.839895470383275,0.732075874322363,0.745715456938986,0.744700683594365,0.752595829321823,0.759322670754191,0.516376306620209,0.644366044428458,0.691463414634146,0.658348968105066,0.777298311444653,0.188585375011734,0.428842200047918,0.223991841862007,0.47278007780927,0.766671022984299,0.400680584077472,0.758235577054404,0.841357675845472,-0.35383275261324,-0.310801393728223,-0.0301357872869097,-0.00017507014136408,-0.189746047137372,-0.30383275261324,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"7","412029","camels-aus-v2-412029","camels-aus-v2",1550.82588920622,-1.16574531847949,0.0306477648698484,0.00430316963118094,-0.214472513342874,-1.17510516497001,0.641092482386751,0.0610087586831773,0.147236484445787,-0.0600422832980973,0.134671565077161,0.134671565077161,0.861890068844696,-0.026562847207128,0.443514461504421,0.249782891880156,0.340604333597225,0.549337120615822,0.691071555487727,0.702728377161003,0.867694774210787,0.788527584947022,0.761673364998173,0.766142549285657,0.653635367190354,0.468953856135095,0.673965569314407,0.339846604980422,0.341393600982534,0.338488166194526,0.367872526623575,0.367109634551495,0.434762911507098,0.441256418000604,0.500151011778919,0.479009362730293,0.585170643310178,0.214002226972905,0.564876446421634,0.0466342393969636,0,0.450711670197009,0,0,0.446945096055986,-0.248263364542434,-0.213983690727877,-0.210159555500436,-0.11992427683778,0.162129508308364,-0.20749018423437,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"8","412066","camels-aus-v2-412066","camels-aus-v2",1635.38520471789,-0.210252166105787,0.13201871129229,0.00618706742067487,-0.19601897246042,-0.217786694488588,0.708245361840603,0.372045028142589,0.103377110694184,0.465853658536585,0.175762538443494,0.175762538443494,0.871179081148228,0.201593308240535,0.474108708357686,0.371670190274841,0.618877849210988,0.689529349550502,0.81698594647471,0.772871496562665,0.847498174309385,0.838483039963738,0.809994711792702,0.837121422617394,0.829524131778892,0.64609270085228,0.868855534709193,0.679559072796352,0.681912382403096,0.70188099189307,0.750235072509968,0.768292682926829,0.570168855534709,0.637898686679174,0.6906191369606,0.731519699812383,0.763977485928705,0.322003662154754,0.256284304780487,0.32050329931112,0.475550334390102,0.774744347499766,0.535746405597496,0.782345231049466,0.859355210543772,-0.211632270168855,-0.137148217636023,0.0407712902319408,0.0387860888313169,0.0380483228192599,-0.130956848030019,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"9","416010","camels-aus-v2-416010","camels-aus-v2",2142.93274298004,-1.08028158016912,-0.00667212793643523,-0.0206534470754938,-0.311495028855904,-1.03818601321517,0.580227040725853,0.27703081232493,0.264985994397759,0.124066924066924,0.106102047488945,0.106102047488945,0.808126486883101,0.00906766255383107,0.610673783290731,0.563812093704798,0.63283306669708,0.643292765162032,0.662878457517728,0.639241421446041,0.836191923577942,0.857251411202779,0.832448979591837,0.722210160660009,0.716379851575497,0.490662315035855,0.739775910364146,0.380551521126006,0.367645860844341,0.364895130812309,0.514131066536566,0.639832326354126,0.463865546218487,0.504481792717087,0.551540616246499,0.669747899159664,0.730252100840336,0.3020680587176,0.379962372266403,-0.130044482253058,0,0.442410648615459,0,0,0.630261562995069,-0.0627450980392157,-0.0977591036414566,0.161464980823812,0.110634516546678,-0.143747814032543,-0.0997198879551821,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
"10","416032","camels-aus-v2-416032","camels-aus-v2",1586.71721064528,-0.183645149610083,-0.0334099002332222,-0.0183809484113011,-0.309860667925606,-0.162281316688611,0.672855941704036,0.135574229691877,0.12020592020592,0.0822664770033191,0.117776716655592,0.117776716655592,1.14020887958973,0.130481885206182,0.667634252539913,0.83941495122432,0.797848498612938,0.778441491105691,0.868876105747336,0.754354510946409,0.799009565753989,0.789361341675105,0.719250613860822,0.587464254879595,0.541098696910092,0.415062390472786,0.798712998712999,0.541471050584205,0.545960860290542,0.637704356678779,0.716493810292112,0.688157141639987,0.65019305019305,0.66975546975547,0.675675675675676,0.666409266409267,0.756302521008403,0.346230612264534,0.269198588862462,0.124596782302797,0.0917556311975335,0.622030547902647,0.228611921516865,0.334651955360948,0.78134862015592,-0.357703081232493,-0.36078431372549,0.219999207169104,0.599664245770144,0.125112628144168,-0.372829131652661,"watergap2-2e_20crv3-era5_obsclim_histsoc_default_qtot_global_daily"
