"","gauge_id","gauge_id2","src","area_km2","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Gamma","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","mdl"
"1","925001A","camels-aus-v2-925001A","camels-aus-v2",3301.34353551634,-4.56445641940197,-0.0702766549741869,0.374675220234249,0.464106980104622,-7.89850618343709,0.682795132968513,0.606479893272346,0,0.676190476190476,0.380537045511008,0.380537045511008,1.44133280706161,-4.15859106283796,0.69015362820823,0.584067928441794,0.688448393711552,0.770696790903641,0.278666716806535,0.186820516220877,0,0,0,0,0.380562228516666,0.552379463213204,0.783647798742138,0,0,0,0,0,0.568667810177244,0.602287021154946,0.575910043834572,0.646883933676386,0.689575685136173,0.315771222661011,0.310599423493697,-0.0511344771299025,-0.127334017472216,0.253878998869931,0.148744269537168,0.401938709600798,0.71157992677729,0.0255002858776444,-0.505927196493234,-0.17803898528379,-0.0679013989137323,0.0113406777805113,-0.317019249094721,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"2","G9070142","camels-aus-v2-G9070142","camels-aus-v2",4018.47741455463,-6.10290891443122,-0.252862125099227,0.0467291913698709,-0.0514648569163205,-6.45109243892431,0.760749169061096,0.66100878796717,0,0.700985221674877,0.360828943540047,0.360828943540047,1.43610305933271,-0.409079127884805,0.841304089111121,0.919264775015659,0.812812957005403,0.449964842386523,0,0,0,0,0,0,0,0.376555397444063,0.901357035397515,0,0,0,0,0,0.789785560545296,0.740814373278833,0.800987045409338,0.872010527268294,0.897507008631929,0.0681019324531938,0.553413356165632,-0.151766533447069,-0.200000771609404,0.40382815760162,0.245505347008596,0.356686895269733,0.698714801370827,0.237692307692308,-0.03,0.100733935219478,0.170598816115052,0.295903834366703,-0.04,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"3","G0050115","camels-aus-v2-G0050115","camels-aus-v2",3335.86503472045,-0.405134605594395,-2.17381645733983,-0.0218751426409891,-0.312705217768461,-0.375055079589165,NA,NA,0,-0.169120693530671,0.1106462183695,0.1106462183695,3.93732873192522,-0.512037947355905,0.263744433912426,0.260601968194355,0.346231369160439,0.263950787166639,0,0,0,0,0,0,0,NA,0.465369345199037,0,0,0,0,0,0.452524187884745,0.457608729321652,0.458411551653795,0.46617216753118,0.459858529459356,0,0.181689371598219,0.218870262065833,0.103652843251156,0.22130452536119,0.127584332531289,0.169028556841231,0.220231533723075,NA,NA,0.451288399024694,0.39706400257787,0.495269738270769,NA,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"4","410044","camels-aus-v2-410044","camels-aus-v2",1063.13284633744,-3.341279093177,-1.17597306910399,0.00297416760077296,-0.214678657015391,-3.35422930089004,0.694771968854282,0.199921632255723,0,0.432950770160072,0.133455347621008,0.133455347621008,2.96716524228228,-3.16141720388099,0.332984574338028,0,0.235702260395516,0.393581255786153,0.313107071737116,0.444616375449041,0.582524616087376,0.628776971195025,0.632917162520738,0.545886972108764,0.411588493377764,0.324343336971956,0.635311735013814,0,0,0,0,0,0.529325421470877,0.551111818655679,0.583274635740988,0.650455102306652,0.789024084618198,-0.0191035030892129,-0.0395973889559351,0.100087989161088,-0.0940914611042307,0.403432118714809,0.0270725509649817,0.0653844732783321,0.585774826916508,0.216462736373749,-0.536818687430478,0.0617576966219604,0.177213210025467,0.222336914144602,-0.0936596218020022,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"5","410091","camels-aus-v2-410091","camels-aus-v2",2638.38547891673,-6.21572134571009,-0.384757881325477,0.0279342838491172,-0.0834772041587795,-6.4230797628399,0.860941320293398,-0.044006417730999,0,0.702445302445303,0.112348906800438,0.112348906800438,2.02289558461372,-6.24159701427258,0.2029269258427,0.280975743474508,0.391953200678408,NA,0.508345883767352,0.573888996552957,0.846485834344302,0.751090308688226,0.750294460216018,0.70090505282779,0.751555413159583,0.416812345849947,0.79187675070028,0,0,0,0,0.29277002188456,0.582072829131653,0.596078431372549,0.629131652661065,0.705729564553094,0.861094142083228,0.405695956781631,0.58010546362023,0.517501517544781,-0.492655952627917,0.263981441076079,0.586906096334143,0.666617639827617,0.858515091663538,-0.121466768525592,-0.798319327731092,-0.320163560356187,-0.185057698655772,0.0434234486622776,-0.646753246753247,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"6","412028","camels-aus-v2-412028","camels-aus-v2",2637.54627577422,-3.74601363932582,-0.304357496692265,0.0121507609277144,-0.174273446884365,-3.80439064141298,0.732283665739747,0.266996607143184,-0.171684372177101,0.330487492529668,0.14863589073131,0.14863589073131,1.98683606428915,-4.38335102926008,0.50075723167786,0.415871778650739,0.474241504652165,0.487861020143905,0.685770616421652,0.761392813311239,0.83500316134447,0.841074293306876,0.868465411003092,0.74870681740141,0.760887707711247,0.55694087315053,0.775102461841709,0,0,0,0.077071041286034,0.364727882648619,0.64224727010061,0.704762312799061,0.705942625524042,0.775273783607877,0.769056725078692,0.328079095378676,0.210753474844834,0.338330004492754,-0.289831587227087,0.567127813588169,0.471031955056696,0.615167580907849,0.813762850923542,-0.394081632653061,-0.423571428571429,0.469545441932206,0.487615035729796,0.767503415300546,-0.0730612244897959,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"7","412029","camels-aus-v2-412029","camels-aus-v2",1550.82588920622,-1.86275344576637,-0.394630618493522,0.00266097779605057,-0.219914673571458,-1.87039149379734,0.66934661028987,0.422622375157777,0,0.63982683982684,0.159005824599177,0.159005824599177,2.08080646724047,-2.19118369871473,0.293474065665421,0.0209524789582627,0.294695579336096,0.438568330315862,0.492048234545488,0.58296986739829,0.788324694708942,0.776040960225297,0.742520751838437,0.657168126351412,0.476556473351858,0.39365578258539,0.745584506820515,0,0,0,0,0,0.590685580600064,0.617146467322289,0.528976691113034,0.635846957359302,0.72613121424608,0.0849887200893612,-0.0652791015810039,0.15463231386267,-0.147541578746515,0.391850181879437,0.0187955008410375,0.0895815264392216,0.729041692730395,-0.00566534914361001,-0.641155743481325,-0.0739876432685007,0.0995564580217372,0.0604857499217959,-0.43861874559549,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"8","412066","camels-aus-v2-412066","camels-aus-v2",1635.38520471789,-3.24250308685425,-0.350828334683041,0.00502690287070973,-0.198301726392059,-3.26393748644539,0.68637511830251,0.358726626451754,-0.149066028071859,0.233510724076762,0.140467342935258,0.140467342935258,2.04105650977086,-4.08771025416155,0.576191081476729,0.433412289241641,0.421164926551669,0.495588872677994,0.641184524916245,0.722598182768917,0.837155836655853,0.81524312313975,0.850971848430438,0.743800135007418,0.760457551168363,0.647171425085961,0.786217515034004,0,0,0,0.144723442790814,0.389752233131599,0.614149708713431,0.679646486603198,0.711113973764057,0.789291679315662,0.805387756204206,0.264842328324949,0.186713240103389,0.320690419564116,-0.358943926494533,0.614571405785162,0.41400929936999,0.579958518888909,0.804536121136107,-0.347372991749891,-0.43573599652627,0.26951100117667,0.414968756873594,0.670345387012765,-0.159357359965263,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"9","416010","camels-aus-v2-416010","camels-aus-v2",2142.93274298004,-1.5561233691769,-0.202291140457788,-0.0215231006830008,-0.309048229194215,-1.50226682829576,0.82374911653249,0.642277327607515,0,0.474571805006588,0.154046164824605,0.154046164824605,1.82372028470747,-2.02982864533278,0.640936989292652,0.563610654270773,0.689252726349288,0.515007939020476,0.491612079109657,0.52670150668555,0.706612410754962,0.673065501012888,0.74799927602781,0.74652555040758,0.689976159309733,0.720561486424233,0.849316728488952,0,0,0,0,0.361689509077011,0.753002460309792,0.796922896385626,0.823472870605101,0.835194401776465,0.890836369023663,0.331628473052301,0.448581007291582,0.27155238866972,-0.311083289564433,0.396981569828903,0.378451962457534,0.551448359811023,0.78293015144631,0.179706021811285,-0.397107633949739,0.39629148237196,0.450647096042385,0.498994791310046,-0.121147463252726,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
"10","416032","camels-aus-v2-416032","camels-aus-v2",1586.71721064528,-8.81884559796056,-0.4589173466618,-0.0173053686336351,-0.295266754694993,-8.65181734089192,0.692816609878221,0.388732565731073,0,0.268740423921961,0.18369521678447,0.18369521678447,1.49865467814655,-2.18524096849,0.647942263456853,0.679115340683663,0.770591057748262,0.509792036701035,0.624406640511758,0.688450007793877,0.730134436209569,0.692055340233806,0.759746646962092,0.738324319769461,0.846977128447769,0.727727214318779,0.811169546611383,0,0,0,0,0.46009262387104,0.579018931597916,0.65010811514271,0.663807593221655,0.770675494881273,0.81346256769528,-0.0295382143436003,0.379029504242346,0.212130363518471,-0.419666004255254,0.325416533377868,0.58062234832924,0.760453070040795,0.769195662251242,-0.109193245778612,-0.428517823639775,0.382263639399301,0.693554743024691,0.667407453293004,-0.189118198874296,"web-dhm-sg_gswp3-w5e5_obsclim_histsoc_default_qtot_global_daily"
