"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas"
2106100,0.468008047968802,0.18029319158503,0.308609436521049,0.436643308271175,0.0623077105340836,0.483695006314116
2124010,NA,NA,NA,0.0821222011698364,0.00493995278118468,0.914768626509633
2124050,0.0786711239517598,0.193584782756006,0.663712081255408,0.0552778194006355,0.0141268607988026,0.931386019078031
2124100,0.0522410569473248,0.184798827174579,0.656998494711472,0.0544193195881809,0.00317775092109981,0.943156569277308
2124150,0.0703254696446775,0.160276596795215,0.770091231516979,0.070832852922405,0.00348440160996086,0.925748164200199
2124200,0.102451209028032,0.141740783160677,0.715076806869483,0.0638469304333624,0.00758330978819701,0.925787926820461
2124250,0.0483177196344197,0.19084875482705,0.656546201556237,0.0495540042115415,0.00426974464984613,0.945203629465596
2124300,0.0634172522687291,0.189120981299519,0.659237317297777,0.0572341669824572,0.00615336504488163,0.93613440195373
2124800,0.021617834433649,0.123039688847497,0.623398545836746,0.0550466227160667,0.00454223696052332,0.935310222545599
2124900,NA,NA,NA,0.0671870326015511,0.00388983382731835,0.926981370337702
2151100,0.798145663276988,0.0526471689811071,0.142512757874039,0.754655430910045,0.0434180171587449,0.191929272256304
2178200,0.288451778860579,0.0983792928571015,0.566145934495932,0.257057455382598,0.0249078351635703,0.711151459734359
2178951,0.106698826130257,0.180266966376384,0.61593580445702,0.112669114012152,0.0185606092593602,0.863012426506628
2178960,0.138118007646288,0.172776007191925,0.590184980399129,0.112415597592543,0.016854415244425,0.866535949638402
2180400,0.39190951329081,0.235077258243377,0.295782093814792,0.385901924665073,0.100485590767174,0.501964473538851
2180600,NA,NA,NA,NA,NA,NA
2180711,0.587060199013057,0.207406950768497,0.186992673460104,0.558173425892676,0.0893235449732346,0.351435090866382
2180712,0.235131627735044,0.513755790525717,0.132816727159633,0.231741446340998,0.417118080265447,0.28301410350881
2181100,0.104814314972527,0.199653530514526,0.614613259476879,0.101940466768676,0.014023778920109,0.883331258513965
2181200,NA,NA,NA,0.76685680400816,0.0170505193249891,0.220176619856031
2181300,0.689699201410855,0.0998369580072623,0.151140920655884,0.708908519538647,0.0358899018209931,0.250503434656861
2181500,0.664076997820259,0.150315194773744,0.176840028569033,0.618486300230183,0.0631794480420767,0.310653666788473
2182050,0.488134065596761,0.115384603419033,0.307918890679823,0.516382446360284,0.0327826984773176,0.450866644459375
2182150,0.194317723312465,0.186615536208122,0.537289272353663,0.187514810506652,0.0270212796141469,0.76869791180015
2182250,0.167098997299713,0.231183657937293,0.512056741719348,0.161170301687604,0.0383761354744587,0.800068939179436
2217100,0.590729580766476,0.158752234527427,0.172101666474683,0.597088992778333,0.0821420474915731,0.306175384663582
2217101,0.669859340425548,0.164477856950042,0.148323941473842,0.6489340413053,0.0704847934989376,0.271644287247626
2217102,0.560158634344827,0.15754394000792,0.171303112107998,NA,NA,NA
2217103,0.672797697768462,0.0948463554569125,0.141191733704283,0.700446977541431,0.0598981923382248,0.20319729417842
2217104,NA,NA,NA,NA,NA,NA
2217110,0.611779566335449,0.128243189175256,0.144614124690853,0.645317499477018,0.0877693109774713,0.232368048049365
2217120,0.723223676053765,0.139622146567213,0.124711900504861,0.695136600361192,0.052701320947678,0.239759224073583
2217130,0.705709711299614,0.119610580564314,0.127413351936854,0.698269467178116,0.0590841266734091,0.236827587303186
2217200,0.775250934775787,0.0793802200406532,0.104928541563434,0.789695132353256,0.0389618065460589,0.174229700148617
2217201,NA,NA,NA,NA,NA,NA
2217210,NA,NA,NA,NA,NA,NA
2217400,0.25600675887326,0.189806577108507,0.468593973453644,0.234369583645406,0.0751456220125623,0.681512028379941
2217401,0.307454683833079,0.158244750225383,0.460272514814582,0.292746952716914,0.0332552424415121,0.666096231928788
