"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1","A105003001",9.16309231458829,0.705882357031691,17.9421568384358,5,903.649509803922,57.8455882352941,69.2916666666667,57.8455882352941,92.2401960784314,77.781862745098,488.632352941176,415.017156862745,903.649509803922,32.3261846291766,"C","f","b","Cfb"
"2","A107020001",9.53915988748797,0.969918705098997,18.3674797120133,6,824.333333333333,51.6016260162602,62.8943089430894,51.6016260162602,85.5365853658537,70.8943089430894,448,376.333333333333,824.333333333333,33.0783197749759,"C","f","b","Cfb"
"3","A112020001",9.07913279259037,0.647560977384569,17.8959349655524,5,928.060975609756,60.6138211382114,69.9634146341463,60.6138211382114,92.349593495935,82.6544715447154,489.089430894309,438.971544715447,928.060975609756,32.1582655851807,"C","f","b","Cfb"
"4","A116003002",9.3912326371458,0.873003476202333,18.2652777615521,5,866.309027777778,55.5260416666667,64.9921875,55.5260416666667,87.5633680555556,76.4175347222222,461.810763888889,404.498263888889,866.309027777778,32.7824652742916,"C","f","b","Cfb"
"5","A140202001",6.23869048919351,-1.3214285671711,14.6571429116385,4,1369.5,96.0714285714286,96.0714285714286,102.285714285714,119.428571428571,141.857142857143,643.499999999999,725.999999999999,1369.5,26.477380978387,"D","f","b","Dfb"
"6","A202030001",6.60940171251248,-0.883333336752959,15.0397435946342,4,1323.88461538462,93.8589743589744,93.8589743589744,97.5,118.974358974359,135.525641025641,634.128205128206,689.756410256411,1323.88461538462,27.218803425025,"D","f","b","Dfb"
"7","A204010101",7.21468360317828,-0.491443849960591,15.680213915473,5,1207.85026737968,86.6336898395722,86.6336898395722,87.1363636363636,110.299465240642,122.139037433155,586.951871657754,620.898395721926,1207.85026737968,28.4293672063566,"D","f","b","Dfb"
"8","A211030001",6.70624999347708,-0.864705886691809,15.1367647507611,4,1305.72058823529,92.5882352941177,92.5882352941177,96.0588235294118,117.691176470588,133.897058823529,627.044117647059,678.676470588235,1305.72058823529,27.4124999869542,"D","f","b","Dfb"
"9","A212020002",7.10233990237582,-0.527586209289546,15.5423645620863,5,1238.64532019704,89.1674876847291,89.1674876847291,89.7832512315271,113.748768472906,125.669950738916,602.068965517241,636.576354679802,1238.64532019704,28.2046798047516,"D","f","b","Dfb"
"10","A231020001",8.53966665829221,0.513714288345405,17.2794285855974,5,962.594285714286,66.1714285714286,67.0171428571429,66.1714285714286,94.7942857142857,92.9885714285714,490.365714285714,472.228571428571,962.594285714286,31.0793333165844,"C","f","b","Cfb"
"11","A234021001",8.08457446812342,0.152127659939071,16.7553191793726,5,1048.22872340425,73.6382978723404,73.6702127659574,73.6382978723404,100.63829787234,103.531914893617,523.872340425531,524.356382978723,1048.22872340425,30.1691489362468,"C","f","b","Cfb"
"12","A251020001",7.85854978846523,0.17142857320897,16.3727273197917,5,1134.03896103896,79.4935064935065,79.4935064935065,80.5584415584416,108.298701298701,112.064935064935,564.38961038961,569.649350649351,1134.03896103896,29.7170995769305,"C","f","b","Cfb"
"13","A270011001",7.85321428617019,-0.221428575579609,16.5057142666408,5,1048.72857142857,72.6428571428571,72.6428571428571,74.7285714285714,99.4,105.3,517.328571428571,531.4,1048.72857142857,29.7064285723404,"D","f","b","Dfb"
"14","A273011002",7.74130619480492,-0.269211198537404,16.3577608055134,5,1082.32315521628,75.1908396946565,75.1908396946565,78.1297709923664,102.717557251908,108.419847328244,532.839694656489,549.483460559796,1082.32315521628,29.4826123896098,"D","f","b","Dfb"
"15","A284020001",9.16440678739362,0.97389830616066,17.969152615434,5,844.11186440678,56,57.871186440678,56,88.7661016949152,75.8440677966102,449.450847457627,394.661016949153,844.11186440678,32.3288135747872,"C","f","b","Cfb"
"16","A330010001",9.27330303242938,1.15099999701435,17.9301818223433,5,813.076363636364,54.9136363636364,54.9136363636364,56.2227272727273,81.7572727272727,77.87,415.895454545455,397.180909090909,813.076363636364,32.5466060648588,"C","f","b","Cfb"
"17","A361011001",8.93842183394886,0.98348083081147,17.4138643382925,5,871.542772861357,59.1091445427729,59.1091445427729,63.6489675516224,84.8230088495575,86.5280235988201,432.938053097345,438.604719764012,871.542772861357,31.8768436678977,"C","f","b","Cfb"
"18","A369011001",9.53855103219079,1.28637387442428,18.2707206558537,5,822.869369369369,56.3637387387387,56.3885135135135,56.3637387387387,87.3975225225225,75.2240990990991,430.245495495496,392.623873873874,822.869369369369,33.0771020643816,"C","f","b","Cfb"
"19","A373020001",9.7804486779803,1.33379118275511,18.6252745900835,5,816.785714285714,56.0796703296703,56.0796703296703,56.3763736263736,86.989010989011,74.6016483516484,424.695054945055,392.090659340659,816.785714285714,33.5608973559606,"C","f","b","Cfb"
"20","A380020001",8.91759068758816,0.951745385231423,17.4266940005261,5,850.386036960986,57.0698151950719,57.0698151950719,63.0903490759754,81.7741273100616,85.8747433264887,418.29158110883,432.094455852156,850.386036960986,31.8351813751763,"C","f","b","Cfb"
"21","A402061001",6.94201977539934,-0.865254235722251,15.3779661049277,4,1281.55084745763,90.6610169491525,90.6610169491525,92.4576271186441,113.805084745763,132.262711864407,608.372881355933,673.177966101694,1281.55084745763,27.8840395507987,"D","f","b","Dfb"
"22","A405062001",7.34584954425199,-0.64552529251877,15.8988326514277,5,1228.5486381323,86.2373540856031,86.2373540856031,88.3852140077821,109.498054474708,126.875486381323,582.992217898833,645.556420233463,1228.5486381323,28.691699088504,"D","f","b","Dfb"
"23","A414020202",6.88041665476436,-0.996250002156012,15.3559374809265,4,1277.5,89.490625,89.490625,93.778125,112.709375,132.359375,604.30625,673.19375,1277.5,27.7608333095287,"D","f","b","Dfb"
"24","A417301001",7.36583333963697,-0.608181821961295,15.9390909541737,5,1183.04545454545,81.1818181818182,81.1818181818182,86.2545454545455,105.781818181818,123.227272727273,560.245454545454,622.800000000001,1183.04545454545,28.7316666792739,"D","f","b","Dfb"
"25","A420063001",7.44422365524029,-0.579020333997974,16.0159888919753,5,1200.2292051756,83.6358595194085,83.6358595194085,86.9038817005545,106.666358595194,124.233826247689,569.095194085027,631.134011090572,1200.2292051756,28.8884473104806,"D","f","b","Dfb"
"26","A433301001",7.95352183435008,-0.126190476119518,16.6202381338392,5,1060.5119047619,72.6547619047619,72.6547619047619,76.2083333333333,97.7619047619048,109.315476190476,511.565476190476,548.946428571428,1060.5119047619,29.9070436687002,"D","f","b","Dfb"
"27","A436203001",7.7731421709213,-0.284491115160924,16.4038772475161,5,1104.66074313409,75.702746365105,75.702746365105,80.0113085621971,100.067851373183,114.497576736672,528,576.660743134088,1104.66074313409,29.5462843418426,"D","f","b","Dfb"
"28","A443064001",7.77858331707274,-0.299904761370271,16.3966189906711,5,1136.32142857143,78.0714285714286,78.0714285714286,82.1904761904762,101.619047619048,117.619047619048,540.321428571429,596,1136.32142857143,29.5571666341455,"D","f","b","Dfb"
"29","A511061001",8.38012077585229,0.212753623845461,17.0407826036647,5,1037.1231884058,69.7826086956522,69.7826086956522,74.9202898550725,93.4130434782609,106.644927536232,495.876811594203,541.246376811594,1037.1231884058,30.7602415517046,"C","f","b","Cfb"
"30","A524201001",9.30534511656573,0.969696971804205,18.0095959865686,5,908.050505050505,58.8989898989899,58.8989898989899,65.6414141414141,84,91.3989898989899,437.444444444445,470.606060606061,908.050505050505,32.6106902331315,"C","f","b","Cfb"
"31","A526102003",9.35580958963661,1.04002999285351,18.0677661924348,5,905.661169415293,58.5337331334333,58.5337331334333,65.3088455772114,83.9715142428786,90.3673163418291,437.24287856072,468.418290854573,905.661169415293,32.7116191792732,"C","f","b","Cfb"
"32","A542201001",9.30361755404054,1.21860464737397,17.9147286304208,5,829.232558139535,52.077519379845,52.077519379845,59.3294573643411,79.7441860465116,81.5813953488372,408.375968992248,420.856589147287,829.232558139535,32.6072351080811,"C","f","b","Cfb"
"33","A543101001",9.39997982886871,1.15287356360782,18.0994555316978,5,867.202056866304,55.1917725347852,55.1917725347852,62.5523290986086,81.6987295825771,86.2226255293406,421.776164549304,445.425892316999,867.202056866304,32.7999596577374,"C","f","b","Cfb"
"34","A550061001",8.74726257968535,0.558509432561344,17.4210565809934,5,973.882075471698,64.3632075471698,64.3632075471698,70.3160377358491,89.0707547169811,99.122641509434,468.396226415094,505.485849056604,973.882075471698,31.4945251593707,"C","f","b","Cfb"
"35","A605102001",7.85912267221369,-0.171583850249093,16.5329192573239,5,1071.88043478261,74.9285714285714,74.9285714285714,76.8913043478261,100.734472049689,108.45652173913,525.658385093167,546.222049689441,1071.88043478261,29.7182453444274,"D","f","b","Dfb"
"36","A615103001",8.19491179449226,0.0797788318935164,16.912322271115,5,1005.13902053712,69.3483412322275,69.3483412322275,71.6113744075829,95.1255924170616,101.547393364929,494.747235387046,510.391785150079,1005.13902053712,30.3898235889845,"C","f","b","Cfb"
"37","A662121202",8.57772817923169,0.425595242973594,17.2744047982352,5,949.958333333333,63.3154761904762,63.3154761904762,67.5416666666667,89.1488095238095,97.4464285714286,461.964285714286,487.994047619048,949.958333333333,31.1554563584634,"C","f","b","Cfb"
"38","A673122001",9.16283914922094,0.835000005355755,17.9349999716116,5,870.416279069767,56.7802325581395,56.7802325581395,61.9732558139535,81.2709302325581,88.5232558139535,424.808139534884,445.608139534884,870.416279069767,32.3256782984419,"C","f","b","Cfb"
"39","A712201001",9.65346535548519,1.49158416526152,18.1980198350283,6,743.722772277228,47.9282178217822,47.9282178217822,52.9059405940594,74.3589108910891,72.4381188118812,372.45297029703,371.269801980198,743.722772277228,33.3069307109704,"C","f","b","Cfb"
"40","A764201001",9.6018229307762,1.27617187378928,18.3839843347669,5,805.9453125,53.3203125,53.3203125,59.6328125,73.09375,84.20703125,387.11328125,418.83203125,805.9453125,33.2036458615524,"C","f","b","Cfb"
"41","A788101001",9.74428090107129,1.46759549419532,18.4954608317172,6,779.61797752809,51.4943820224719,51.4943820224719,57.8539325842697,72.1460674157303,80.0449438202247,377.842696629213,401.775280898876,779.61797752809,33.4885618021426,"C","f","b","Cfb"
"42","A807101001",9.70447237471091,1.89293477360321,18.0714673063029,6,814.610054347826,50.8953804347826,50.8953804347826,62.6494565217391,74.0828804347826,85.289402173913,384.686141304348,429.923913043478,814.610054347826,33.4089447494218,"C","f","b","Cfb"
"43","A843101001",9.67322344657703,1.70817581637875,18.1309889279879,6,805.043956043956,50.956043956044,50.956043956044,62.5054945054945,73.4285714285714,83.967032967033,378.967032967033,426.076923076923,805.043956043956,33.3464468931541,"C","f","b","Cfb"
"44","A850061001",9.29008553848537,1.10666842397033,17.9503578487195,5,856.110526315789,56.1842105263158,56.1842105263158,62.6368421052632,79.6631578947368,86.9578947368421,415.257894736842,440.852631578947,856.110526315789,32.5801710769707,"C","f","b","Cfb"
"45","A901305050",8.35912951744001,0.310191084197752,16.9815286527014,5,965.03821656051,66.2484076433121,66.2484076433121,69.9936305732484,93.0254777070064,96.7707006369427,478.356687898089,486.68152866242,965.03821656051,30.71825903488,"C","f","b","Cfb"
"46","A907105050",9.18196063826758,0.848873353655151,17.9865579367981,5,828.695415695416,55.5042735042735,55.5042735042735,58.6013986013986,78.6682206682207,83.6052836052836,411.30303030303,417.392385392385,828.695415695416,32.3639212765352,"C","f","b","Cfb"
