"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1",1001,7.45473485552903,3.28352274000645,12.6747159226374,4,1031.85511363636,56.5965909090909,56.5965909090909,79.2329545454545,97.7755681818182,117.727272727273,416.451704545455,615.403409090909,1031.85511363636,28.9094697110581,"C","f","b","Cfb"
"2",2001,7.11660483911097,2.6174773310986,12.629760904147,4,1194.35861500412,67.6232481450948,67.6232481450948,86.40395713108,113.649629018961,132.969497114592,499.876339653751,694.482275350371,1194.35861500412,28.2332096782219,"C","f","b","Cfb"
"3",2002,6.9553128389286,2.41812297660042,12.5996763739642,4,1314.50916936354,72.8435814455232,72.8435814455232,96.2481121898598,124.706580366775,145.695792880259,544.311758360303,770.197411003236,1314.50916936354,27.9106256778572,"C","f","b","Cfb"
"4",3003,6.88002063148066,1.9214580416003,12.4788170595445,4,2099.7689133425,103.253094910591,103.253094910591,163.554332874828,200.583218707015,241.994497936726,808.716643741403,1291.0522696011,2099.7689133425,27.7600412629613,"C","f","b","Cfb"
"5",4001,6.64018785245985,1.90321342533441,12.3783213512503,4,2410.06139088729,114.116067146283,114.116067146283,195.691127098321,225.969304556355,280.78896882494,888.720383693045,1521.34100719425,2410.06139088729,27.2803757049197,"C","f","b","Cfb"
"6",4003,6.45016929587985,1.95981940728009,12.1480812520529,3,1879.41760722348,96.3814898419865,96.3814898419865,148.469525959368,174.483069977427,213.237020316027,727.277652370203,1152.13995485327,1879.41760722348,26.9003385917597,"C","f","c","Cfc"
"7",4005,6.21389925852186,1.53843283394713,11.9708955359103,3,2561.2276119403,120.123134328358,120.123134328358,208.026119402985,238.858208955224,304,931.332089552239,1629.89552238806,2561.2276119403,26.4277985170437,"C","f","c","Cfc"
"8",4006,6.84186122362561,2.07392995413175,12.5233463109235,4,2464.07392996109,114,114,197.529182879377,233.731517509728,288.365758754864,900.466926070039,1563.60700389105,2464.07392996109,27.6837224472512,"C","f","b","Cfb"
"9",5003,6.00328379770227,1.46836049675456,11.8505273263041,3,2566.28667305849,119.706615532119,119.706615532119,208.772770853308,238.970278044104,312.326941514861,920.353787152446,1645.93288590604,2566.28667305849,26.0065675954045,"C","f","c","Cfc"
"10",6007,6.64032910889655,1.96232911218194,12.5593923677372,4,2088.91139240506,99.8607594936709,99.8607594936709,168.784810126582,194.063291139241,258.96835443038,751.632911392405,1337.27848101266,2088.91139240506,27.2806582177931,"C","f","b","Cfb"
"11",6008,6.77219827588776,2.08275860907703,12.7193965336372,4,2072.83189655172,99.7586206896552,99.7586206896552,169.978448275862,192.150862068966,257.443965517241,744.737068965518,1328.09482758621,2072.83189655172,27.5443965517755,"C","f","b","Cfb"
"12",7001,5.53855916675766,0.686674129580797,11.6947368576973,2,1617.49384098544,88.4087346024636,88.4087346024636,129.586786114222,144.568868980963,198.703247480403,618.501679731243,998.9921612542,1617.49384098544,25.0771183335153,"C","f","c","Cfc"
"13",7002,6.18234714154389,1.35467455125684,12.3076923167212,3,1312.95266272189,72.9721893491124,72.9721893491124,102.001775147929,118.118343195266,156.626627218935,521.645562130177,791.307100591716,1312.95266272189,26.3646942830878,"C","f","c","Cfc"
"14",7003,7.44881205114913,2.75021277311,13.3953191574584,4,808.404255319149,49.5595744680851,49.5595744680851,56.4914893617021,75.3042553191489,82.5212765957447,365.553191489362,442.851063829787,808.404255319149,28.8976241022983,"C","f","b","Cfb"
