"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1",3001,27.4838916480541,21.6917999744415,34.3998000144959,12,914.525,3.1375,20.725,3.1375,235.025,82.9125,793.35,121.175,914.525,54.9677832961083,"A","w","","Aw"
"2",3002,24.7013649103934,18.6796631662469,31.6416000366211,12,1386.86315789474,5.69473684210526,37.2526315789474,5.69473684210526,366.305263157895,78.6315789473684,1248.74736842105,138.115789473684,1386.86315789474,49.4027298207869,"A","w","","Aw"
"3",3003,26.5918818346159,20.0520628230778,35.0919685664139,12,1470.08661417323,4.63779527559055,10.3149606299213,4.63779527559055,468.51968503937,55.0866141732283,1362.03937007874,108.047244094488,1470.08661417323,53.1837636692317,"A","w","","Aw"
"4",3004,25.9458051600926,20.7141126041681,33.211352093119,12,839.838028169015,3.54929577464789,5.48591549295775,3.54929577464789,228.704225352113,49.9084507042254,750.225352112677,89.612676056338,839.838028169015,51.8916103201853,"A","w","","Aw"
"5",3005,25.951592340702,19.4422408196984,34.4189025250877,12,1307.06707317073,6.26219512195122,10.4207317073171,6.26219512195122,405.518292682927,50.4207317073171,1199.7256097561,107.341463414634,1307.06707317073,51.9031846814039,"A","w","","Aw"
"6",3006,24.9169090791182,18.4628362482244,33.5019635287198,12,1144.05454545454,10.2363636363636,10.4181818181818,10.2363636363636,332.963636363636,45.1090909090909,1018.94545454545,125.109090909091,1144.05454545454,49.8338181582364,"A","w","","Aw"
"7",3007,25.0174977261721,18.3313670202133,33.6268347993903,12,1281.88990825688,6.81651376146789,9.20183486238532,6.81651376146789,402.229357798165,42.3394495412844,1162.94495412844,118.94495412844,1281.88990825688,50.0349954523443,"A","w","","Aw"
"8",3008,27.0121669369144,21.1501206484708,35.1363532059676,12,1037.44755244755,6.63636363636364,11.3216783216783,6.63636363636364,296.874125874126,49.958041958042,941.237762237761,96.2097902097903,1037.44755244755,54.0243338738288,"A","w","","Aw"
"9",3009,26.7587808885692,21.4264815648397,33.939037181713,12,945.694444444445,2.35185185185185,13.1018518518519,2.35185185185185,242.12962962963,61.2222222222222,846.75925925926,98.9351851851852,945.694444444445,53.5175617771384,"A","w","","Aw"
"10",3010,26.3462260359493,20.5741887833845,33.769748570471,12,1104.46171693736,5.91183294663573,15.0475638051044,5.91183294663573,310.960556844548,63.5556844547564,995.111368909514,109.350348027842,1104.46171693736,52.6924520718986,"A","w","","Aw"
"11",3011,27.1448616401056,21.4845280153624,35.0100114624926,12,1055.25255972696,3.99203640500569,12.2434584755404,3.99203640500569,294.269624573379,56.641638225256,951.317406143345,103.935153583618,1055.25255972696,54.2897232802112,"A","w","","Aw"
"12",3012,25.5854368426583,18.9717499126088,34.1521704702666,12,1319.37878787879,5.36363636363636,8.96969696969697,5.36363636363636,419.075757575758,46.8181818181818,1208.56060606061,110.818181818182,1319.37878787879,51.1708736853166,"A","w","","Aw"
"13",3013,26.8785666664441,20.7785000562668,34.8466251134872,12,1071.93125,4.2125,15.225,4.2125,299.06875,60.79375,962.45625,109.475,1071.93125,53.7571333328883,"A","w","","Aw"
"14",3014,26.1214133948479,20.2529607307254,34.2732598312258,12,933.637795275591,6.2755905511811,10.1299212598425,6.2755905511811,275.145669291339,44.507874015748,835.181102362205,98.4566929133858,933.637795275591,52.2428267896958,"A","w","","Aw"
"15",3015,25.4604762163377,19.1434587120114,33.8748872742617,12,1050.03909774436,8.41954887218045,10.9368421052632,8.41954887218045,303.595488721804,47.3052631578947,939.225563909774,110.813533834587,1050.03909774436,50.9209524326755,"A","w","","Aw"
"16",3016,24.9634271556624,18.7469843166081,33.348559086717,12,1127.92125984252,9.47244094488189,10.4566929133858,9.47244094488189,326.157480314961,48.7244094488189,1015.37007874016,112.551181102362,1127.92125984252,49.9268543113248,"A","w","","Aw"
"17",3017,24.6174743634004,18.479769376608,32.0442304978004,12,1378.94230769231,6.03846153846154,29.7692307692308,6.03846153846154,382.653846153846,78.4807692307692,1240.34615384615,138.596153846154,1378.94230769231,49.2349487268008,"A","w","","Aw"
