"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1","camels_01022500",6.11544092146139,-8.44155972754732,19.4115496726756,5,1234.87166831194,81.0671273445212,81.0671273445212,90.0286278381046,107.763079960513,132.345508390918,576.660414610069,658.211253701876,1234.87166831194,26.2308818429228,"D","f","b","Dfb"
"2","camels_01031500",4.46664024383169,-11.0759112445753,18.3922345271768,5,1086.35736925515,66.7939778129953,85.945324881141,66.7939778129953,100.203645007924,109.550713153724,571.347860538827,515.009508716323,1086.35736925515,22.9332804876634,"D","f","b","Dfb"
"3","camels_01047000",4.49096894003166,-10.7720459165966,18.2248480962306,5,1106.71640783255,68.4078325455773,88.5597569209993,68.4078325455773,102.614449696151,109.910871033086,575.980418636056,530.735989196489,1106.71640783255,22.9819378800633,"D","f","b","Dfb"
"4","camels_01052500",3.293153845366,-11.9872307689373,17.0604615519597,4,1141.66769230769,67.0123076923077,80.7984615384615,67.0123076923077,122.710769230769,102.738461538462,629.132307692308,512.535384615385,1141.66769230769,20.586307690732,"D","f","b","Dfb"
"5","camels_01054200",4.69292237182449,-9.47705479843976,18.0222602674406,5,1240.68150684931,84.7876712328767,96.9006849315068,84.7876712328767,120.181506849315,125.904109589041,637.393835616438,603.287671232876,1240.68150684931,23.385844743649,"D","f","b","Dfb"
"6","camels_01055000",3.92912640681433,-11.0775362028592,17.6862318757652,5,1140.99516908213,71.7415458937198,87.5024154589372,71.7415458937198,111.217391304348,113.95652173913,595.782608695652,545.212560386473,1140.99516908213,21.8582528136287,"D","f","b","Dfb"
"7","camels_01057000",5.84065735553764,-8.88788821238168,19.3748446991725,5,1139.36645962733,75.0403726708075,87.1521739130435,75.0403726708075,100.95652173913,119.54347826087,571.363354037267,568.003105590062,1139.36645962733,25.6813147110753,"D","f","b","Dfb"
"8","camels_01078000",6.16694366988327,-8.1343490991566,19.3357341375377,5,1081.70083102493,71.5096952908587,84.8864265927978,71.5096952908587,102.952908587258,104.119113573407,566.853185595568,514.847645429363,1081.70083102493,26.3338873397665,"D","f","b","Dfb"
"9","camels_01134500",4.4280547435857,-10.5656891652216,18.0184751326038,5,1125.99120234604,62.7800586510264,80.0791788856305,62.7800586510264,127.217008797654,100.193548387097,624.653958944282,501.33724340176,1125.99120234604,22.8561094871714,"D","f","b","Dfb"
"10","camels_01137500",4.19831606383324,-10.1865285023506,17.6064766453955,5,1295.09326424871,83.8860103626943,98.7331606217617,83.8860103626943,132.458549222798,122.987046632124,680.380829015545,614.71243523316,1295.09326424871,22.3966321276665,"D","f","b","Dfb"
"11","camels_01139000",5.23609784342551,-9.69284010274882,18.7942720335822,5,1055.9045346062,60.1789976133652,78.81861575179,60.1789976133652,116.778042959427,93.8353221957041,584.668257756563,471.236276849642,1055.9045346062,24.472195686851,"D","f","b","Dfb"
"12","camels_01144000",5.44273155659526,-9.12492038085397,18.698690262516,5,1142.07079646018,68.4778761061947,90.8672566371681,68.4778761061947,120.115044247788,103.823008849558,618.83185840708,523.238938053098,1142.07079646018,24.8854631131905,"D","f","b","Dfb"
"13","camels_01169000",6.57081057096005,-7.29453553788649,19.4959016810349,5,1272.69672131147,91.6639344262295,96.5874316939891,91.6639344262295,116.510928961749,119.592896174863,651.622950819672,621.073770491803,1272.69672131147,27.1416211419201,"D","f","b","Dfb"
"14","camels_01170100",6.6312734096482,-7.27528087744552,19.5859550518936,5,1266.08988764045,90.5112359550562,95.938202247191,90.5112359550562,115.657303370787,118.893258426966,647.578651685394,618.511235955056,1266.08988764045,27.2625468192964,"D","f","b","Dfb"
"15","camels_01181000",6.83968048607882,-6.81917098149117,19.5479274907878,5,1217.38860103627,87.9715025906736,96.7823834196891,87.9715025906736,114.046632124352,111.621761658031,635.461139896373,581.927461139896,1217.38860103627,27.6793609721576,"D","f","b","Dfb"
"16","camels_01333000",6.53366477540907,-7.41420454870571,19.3897727511146,5,1160.89772727273,77.2784090909091,94.3579545454545,77.2784090909091,108.176136363636,105.704545454545,619.897727272727,541,1160.89772727273,27.0673295508181,"D","f","b","Dfb"
