"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1","GRDC_1159100",17.9396799972419,10.0983452401719,24.0437978507469,12,387.236202238518,5.06947124662293,31.3678116557314,5.06947124662293,64.8622153608645,32.9177923581629,310.925511385565,76.3106908529526,387.236202238518,35.8793599944838,"C","w","a","Cwa"
"2","GRDC_1159103",17.8811533882682,10.0313187584518,23.9820735057195,12,394.913095238095,5.04801587301587,32.0714285714286,5.04801587301587,66.3,33.4746031746032,317.5,77.4130952380952,394.913095238095,35.7623067765364,"C","w","a","Cwa"
"3","GRDC_1159105",18.0616831588614,10.33271678063,24.091071098304,12,361.764807162534,4.69111570247934,28.4920798898072,4.69111570247934,61.8326446280992,30.9975895316804,290.982782369146,70.7820247933885,361.764807162534,36.1233663177229,"C","w","a","Cwa"
"4","GRDC_1159110",13.616991678377,6.56019998788834,20.4617499828339,9,231.6625,13.5125,13.5125,14.0375,27.2125,25.575,105.65,126.0125,231.6625,41.233983356754,"B","S","k","BSk"
"5","GRDC_1159120",12.7845555760242,5.66937779320611,19.6073333740234,7,245.233333333333,14.5333333333333,15.5333333333333,14.5333333333333,31.2888888888889,24.0777777777778,121.788888888889,123.444444444444,245.233333333333,39.5691111520484,"B","S","k","BSk"
"6","GRDC_1159125",13.884626694488,6.42677236184841,20.7595040236062,9,221.414634146341,11.9349593495935,14.780487804878,11.9349593495935,32.219512195122,22.5853658536585,121.593495934959,99.821138211382,221.414634146341,41.769253388976,"B","S","k","BSk"
"7","GRDC_1159130",15.2125020382697,7.46960341302972,22.2400169085739,9,210.270676691729,10.0075187969925,14.4285714285714,10.0075187969925,34.2330827067669,22.218045112782,125.834586466165,84.436090225564,210.270676691729,44.4250040765394,"B","W","k","BWk"
"8","GRDC_1159131",14.9689013699691,6.95831108358171,22.063038942549,9,226.8,8.40555555555556,15.6555555555556,8.40555555555556,41.6333333333333,23.3,153.238888888889,73.5611111111111,226.8,43.9378027399381,"B","S","k","BSk"
"9","GRDC_1159290",15.8629968112743,7.84997452354182,22.0935838388649,10,526.970383275261,7.82665505226481,48.8623693379791,7.82665505226481,82.3963414634146,40.8702090592335,418.249128919861,108.721254355401,526.970383275261,31.7259936225487,"C","w","a","Cwa"
"10","GRDC_1159300",15.8140304022467,7.80430573041219,22.0328033035547,10,530.762114537445,7.8784140969163,49.3118942731278,7.8784140969163,82.9744493392071,41.1066079295154,421.302202643172,109.459911894273,530.762114537445,31.6280608044935,"C","w","a","Cwa"
